smiles,r2
CC1CC(=N)O1,567.9978
CC1CC(=O)C1,615.4797
CC1CC(=O)N1,578.1159
CC1CC(=O)O1,549.3072
CN1CC(=O)C1,581.4874
OC1CC(=O)C1,568.1088
CC1CC(C)C1,708.7554
CC1CC(C)O1,627.2141
CC1CC(O)C1,659.729
CN1CC(O)C1,603.8647
OC1CC(O)C1,617.3904
CC12CC(C1)C2,520.6157
CC12CC(C1)O2,482.6135
CC12CN(C1)C2,503.8125
OC12CC(C1)C2,476.4978
OC12CN(C1)C2,459.4671
O=C(C#C)C#C,559.9421
O=C(C#C)C#N,539.3608
O=C(C#N)C#N,520.8737
O=CC(=O)C#C,570.4143
O=CC(=O)C#N,551.5682
O=CC(=O)C=O,583.5476
CC(C#C)C#C,627.8377
CC(C#C)C#N,605.1461
CC(C#N)C#N,583.9904
NC(C#C)C#N,583.2106
NC(C#N)C#N,562.9596
OC(C#C)C#C,588.5174
OC(C#C)C#N,566.4572
OC(C#N)C#N,546.2842
CC(C=O)C#C,632.3767
CC(C=O)C#N,611.9888
OC(C=O)C#C,567.4229
OC(C=O)C#N,547.2998
CC(C=O)C=O,637.0667
CN(C=N)C=O,607.0428
CN(C=O)C=O,588.7943
OC(C=O)C=O,555.1885
CN=C(N)C#N,616.0271
CN=C(N)C=O,629.4902
CCC(=O)C#C,663.4092
CCC(=O)C#N,643.1284
CNC(=N)C#N,618.7695
CNC(=O)C#C,627.8913
COC(=O)C#C,595.6777
COC(=O)C#N,575.2916
OCC(=O)C#C,617.4214
OCC(=O)C#N,596.5667
CCC(=O)C=O,641.1289
CNC(=N)C=O,643.2539
CNC(=O)C=O,633.9378
COC(=O)C=O,600.9282
OCC(=O)C=O,627.7041
CCC(=O)CC,770.4633
CCC(=O)CO,723.3895
CCC(=O)NC,725.6801
CCC(=O)OC,694.4729
CNC(=O)CO,681.2313
CNC(=O)NC,689.1369
CNC(=O)OC,657.9646
COC(=O)CN,669.5959
COC(=O)CO,640.0833
OCC(=O)CO,677.014
COC(C)=NC,667.2341
CC(CO)C#C,682.8459
CC(CO)C#N,658.6943
CCC(C)C#C,736.4751
CCC(C)C#N,712.3282
CCC(N)C#N,689.9612
CCC(O)C#C,693.4546
CCC(O)C#N,670.8765
CNC(C)C#N,680.4479
COC(C)C#C,675.6208
COC(C)C#N,619.0012
NC(CO)C#N,634.7561
NCC(N)C#N,658.1766
NCC(O)C#N,640.0746
OCC(O)C#C,638.4935
OCC(O)C#N,617.6379
CC(CO)C=O,656.247
CCC(C)C=O,739.4896
CCC(O)C=O,676.7821
CCN(C)C=O,680.8869
COC(C)C=O,676.5067
OCC(O)C=O,618.5337
CC(CO)CO,743.5937
CCC(C)CC,855.476
CCC(C)CO,798.4108
CCC(C)OC,743.1891
CCC(O)CC,805.7386
CCC(O)CO,748.8236
COC(C)CO,670.6307
OCC(O)CO,694.4975
CC1(CC1)C#C,582.3195
CC1(CC1)C#N,559.2985
CC1(CN1)C#C,564.5299
CC1(CN1)C#N,541.8201
CC1(CO1)C#C,548.2216
CC1(CO1)C#N,525.818
NC1(CC1)C#N,537.6808
OC1(CC1)C#C,544.2268
OC1(CC1)C#N,521.6025
CC1(CC1)C=O,572.0979
CC1(CN1)C=O,553.6489
CC1(CO1)C=O,538.1677
OC1(CC1)C=O,528.8623
CC1(CO)CC1,610.3779
CC1(CO)CN1,582.3057
CC1(CO)CO1,566.509
CCC1(C)CC1,658.7763
CCC1(C)CO1,616.3779
CCC1(O)CC1,618.4343
COC1(C)CC1,596.0747
OCC1(O)CC1,568.4896
CC1CCC1=O,567.3641
CC1CNC1=O,539.0137
CC1COC1=N,537.9634
CC1COC1=O,521.9194
CC1NCC1=O,545.7113
CC1OCC1=O,525.6219
CN1CCC1=O,542.8932
NC1COC1=N,518.7658
NC1COC1=O,503.6554
OC1CCC1=O,517.5463
OC1CNC1=O,495.5449
OC1COC1=N,494.7347
OC1COC1=O,481.5842
CC1CCC1C,624.4665
CC1CCC1O,575.9494
CC1COC1C,585.5983
CC1OCC1O,539.14
OC1CCC1O,529.6164
N=C1CN=CN1,470.3702
O=C1CC=CC1,502.2039
O=C1CC=CN1,473.5305
O=C1CN=CN1,452.4227
O=C1CN=CO1,433.0637
N=C1OCC=C1,472.0954
O=C1CCC=C1,505.106
O=C1NCC=C1,475.489
N=C1CCCO1,515.9607
N=C1COCO1,475.1154
N=C1OCCO1,471.4994
O=C1CCCC1,547.0211
O=C1CCCN1,521.6537
O=C1CCCO1,499.82
O=C1CCOC1,504.709
O=C1COCO1,459.0271
O=C1NCCN1,491.6466
O=C1NCCO1,473.1926
O=C1OCCO1,455.3293
CC1=CCCC1,609.4914
CC1=CCOC1,566.4241
CC1=NCCO1,530.0606
CC1CC=CC1,587.2379
CC1CN=CO1,504.1131
OC1CC=CC1,510.4532
CC1CCC=C1,589.2794
CC1COC=N1,509.7285
CC1OCC=C1,531.8706
OC1CCC=C1,528.2233
CC1CCCC1,641.8924
CC1CCCO1,586.3351
CC1CCOC1,594.9572
CC1COCO1,539.3012
CC1OCCO1,537.0339
OC1CCCC1,550.8423
OC1CCOC1,508.516
CC1C(C)C1C,642.4422
CC1C(C)C1O,589.5057
CC1C(C)N1C,607.6457
CC1C(O)C1O,539.3304
OC1C(O)C1O,476.1977
CC12CC1CC2,542.9521
CC12CC1CO2,498.0795
CC12CC1OC2,506.8939
CC12CCC1O2,508.8551
OC12CC1CC2,499.7541
OC12CC1OC2,464.135
C#CC#CC#C,802.1485
C#CC#CC#N,777.4112
N#CC#CC#N,754.2424
C#CCCC#C,799.7895
C#CCCC#N,773.7747
N#CCCC#N,748.3461
O=CC#CC#C,801.3233
O=CC#CC#N,776.7874
O=CC#CC=O,801.4852
N=COCC#C,665.5192
N=COCC#N,646.0972
O=CCCC#C,817.4048
O=CCCC#N,792.702
O=CNCC#C,691.5345
O=CNCC#N,652.22
O=COCC#C,660.5683
O=COCC#N,649.8622
N=COCC=O,741.954
O=CCCC=O,826.9499
O=CCNC=O,701.3499
O=CCOC=O,751.1914
CC#CC#CC,1041.5974
CC#CCC#C,849.0499
CC#CCC#N,822.8323
CC#CCC=O,887.4234
CN=CNC=O,680.2345
CN=COC=O,807.2438
CCC#CC#C,897.8437
CCC#CC#N,871.1625
OCC#CC#C,858.0993
OCC#CC#N,831.3517
CCC#CC=O,914.8563
OCC#CC=O,870.3354
CCC#CCC,1025.2475
CCC#CCO,959.5388
OCC#CCO,921.7788
CCN=COC,829.3437
CC#CCCO,987.2389
CCCC#CC,1048.5765
COCC#CC,974.5309
CCOC=NC,926.9585
CCCCC#C,950.8272
CCCCC#N,924.0066
CCNCC#N,867.8577
CCOCC#C,851.4059
CCOCC#N,824.9588
COCCC#C,867.686
COCCC#N,842.1422
OCCCC#C,894.418
OCCCC#N,867.7431
CCCCC=O,976.3209
CCCNC=O,810.6686
CCCOC=O,860.792
CCOCC=O,890.8485
COCCC=O,896.28
OCCCC=O,920.2045
OCCNC=O,722.62
OCCOC=N,745.4967
OCCOC=O,648.7955
CCCCCC,1142.2706
CCCCCO,1080.8627
CCCCOC,1051.6942
CCCOCC,1024.2518
CCOCCO,833.3905
COCCCO,991.9169
COCCOC,963.7244
OCCCCO,1019.4799
C#CC1CCC1,624.2663
C#CC1CCO1,567.0194
C#CC1COC1,579.431
N#CC1CCC1,599.6434
N#CC1CCN1,538.446
N#CC1CCO1,539.6838
N#CC1COC1,555.134
O=CC1CCC1,636.1846
O=CC1CCO1,575.5626
O=CC1COC1,583.4738
O=CN1CCC1,586.133
CN=C1CCO1,592.3635
CCC1CCC1,724.2171
CCC1CCO1,657.946
CCC1COC1,675.7455
COC1CCC1,657.4853
COC1COC1,615.1353
OCC1CCC1,673.3675
OCC1CCO1,592.6958
OCC1COC1,614.496
C#CCC1CC1,694.8847
C#CCC1CO1,653.8855
C#CCN1CC1,568.5035
N#CCC1CC1,669.5084
N#CCC1CN1,642.9501
N#CCC1CO1,629.6714
N#CCN1CC1,625.5614
N=COC1CC1,666.8787
O=CCC1CC1,725.196
O=CCC1CN1,666.334
O=CCC1CO1,676.0308
O=CCN1CC1,677.2239
O=CNC1CC1,602.5288
O=COC1CC1,647.0438
CC#CC1CC1,812.7972
CC#CC1CN1,786.3624
CC#CC1CO1,776.9091
CCCC1CC1,856.0996
CCCC1CO1,804.8416
CCCN1CC1,802.0898
CCOC1CC1,757.9582
COCC1CC1,774.9385
COCC1CN1,746.2516
COCC1CO1,738.5038
OCCC1CC1,799.4573
OCCC1CO1,749.2911
OCCN1CC1,666.2034
CC1CC1C#C,602.7793
CC1CC1C#N,577.6433
CC1NC1C#C,588.8624
CC1NC1C#N,564.4965
CC1OC1C#C,570.9634
CC1OC1C#N,546.1016
CN1CC1C#C,568.893
CN1CC1C#N,543.9463
OC1CC1C#C,545.6297
OC1CC1C#N,534.1305
CC1CC1C=O,637.5147
CC1CN1C=O,574.3964
CC1NC1C=O,616.9206
CC1OC1C=O,529.1334
CN1CC1C=O,527.941
OC1CC1C=O,586.8932
CC1CC1CO,693.1326
CC1NC1CO,656.974
CC1OC1CO,644.5398
CCC1CC1C,743.8195
CCC1CC1O,686.1164
CCC1CN1C,665.4811
CCC1OC1C,697.2201
CCN1CC1C,698.3614
CN1CC1CO,657.2536
COC1CC1C,657.4178
COC1CC1O,577.6746
OCC1CC1O,634.7594
CC(=O)C1CC1,601.0355
CC(=O)C1CN1,575.1919
CC(=O)C1CO1,553.6096
CC(=O)N1CC1,562.6793
NC(=O)C1CC1,567.2524
NC(=O)C1CN1,541.7218
NC(=O)C1CO1,523.6706
NC(=O)N1CC1,527.9789
CC(C)C1CC1,699.4861
CC(C)C1CO1,620.6879
CC(C)N1CC1,650.5166
CC(O)C1CC1,658.5353
CC(O)C1CN1,593.3138
CC(O)C1CO1,573.6363
C1CC11CCC1,568.3062
C1CC11CCO1,524.6466
C1CC11COC1,534.4491
C1NC11COC1,513.7183
C1OC11CCC1,531.2446
C1OC11COC1,497.7555
C1C2CC1C=C2,430.2843
C1C2OC1C=C2,397.1306
C1C2CC1CC2,471.6447
C1C2CC1OC2,432.4575
C1C2CCC1O2,437.149
CC1C2CC1C2,531.2527
CC1C2CC1O2,501.501
OC1C2CC1C2,484.8841
OC1C2CC1O2,452.7784
C1CC=CCO1,504.8171
C1CCC=CC1,552.2096
C1COC=NC1,479.7591
C1CCCCC1,593.5711
C1CCOCC1,545.362
C1COCCO1,498.9247
C1COCOC1,497.6429
C1CC2CCC12,515.3423
C1CC2OCC12,472.7184
C1OC2COC12,432.6079
CC1C2CCC12,534.5684
CC1C2COC12,493.3705
OC1C2CCC12,485.374
OC1C2COC12,442.4333
C1C2CC=CC12,467.6418
C1C2OC=NC12,400.9456
C1C=CC2NC12,448.9341
C1C=CC2OC12,431.9465
C1C2CCCC12,507.8818
C1C2CCOC12,466.8514
C1C2COCC12,464.1143
C1C2OCOC12,425.5561
C1CC2OC2C1,469.3823
C1OCC2NC12,447.8562
C1OCC2OC12,430.9118
N=C1OC2CC12,453.9067
O=C1CC2CC12,478.8605
O=C1CC2CN12,448.6348
O=C1CC2NC12,461.278
O=C1CC2OC12,444.2643
O=C1CN2CC12,458.1637
O=C1NC2CC12,453.1664
O=C1OC2CC12,436.863
CC1CC2CC12,545.883
CC1CC2OC12,504.2055
CC1OC2CC12,503.2217
OC1CC2CC12,499.0357
OC1CC2NC12,471.5514
OC1CC2OC12,456.2711
OC1CN2CC12,480.0539
C1C2C3CC2C13,432.3178
C1C2C3CN2C13,410.3314
C1C2C3OC2C13,399.7024
N1C2C3NC2C13,396.1319
N1C2C3OC2C13,381.938
O1C2C3OC2C13,367.7712
C1CC1C1CC1,665.6195
C1CC1C1CO1,624.9793
C1CC1N1CC1,568.5492
C1NC1C1CN1,550.0663
C1NC1C1CO1,605.2204
C1OC1C1CO1,507.0283
C1C2C1C1CC21,449.4946
C1C2C1C1NC21,426.3704
C1C2C1C1OC21,409.078
C1C2C1N1CC21,427.1373
N1C2C1C1NC21,409.7592
N1C2C1C1OC21,392.5089
O1C2C1C1OC21,376.0072
C1C2C3C1CN23,400.0483
C1C2C3CC1C23,420.7831
C1C2C3CC1N23,402.5187
C1C2C3CN1C23,397.6097
C1C2C3OC1C23,384.9781
C12C3C1C1C2C31,362.9129
C12C3C1N1C2C31,344.2262
C1=CN=NC=C1,412.1508
C1=CN=NN=C1,391.8571
C1=NN=CN=N1,369.6437
C1=NN=NC=N1,369.079
C1=NN=NN=C1,372.8252
CC1=CC=NN1,501.8132
CC1=CC=NO1,483.7794
CC1=CN=NN1,483.3848
CC1=CN=NO1,466.4947
CC1=CNN=C1,508.6768
CC1=CNN=N1,482.4411
CC1=CON=C1,496.1172
CC1=CON=N1,471.3661
CC1=NC=NN1,474.9449
CC1=NC=NO1,457.4821
CC1=NNC=C1,500.7111
CC1=NNC=N1,473.5053
CC1=NNN=C1,481.1012
CC1=NNN=N1,456.0168
CC1=NOC=C1,487.3888
CC1=NOC=N1,460.9254
CC1=NON=C1,471.0874
CC1=NON=N1,446.7216
CN1C=CC=N1,484.7442
CN1C=CN=N1,465.914
CN1C=NC=N1,463.9201
CN1C=NN=C1,471.1624
CN1C=NN=N1,448.3989
CN1N=CC=N1,460.0451
CN1N=CN=N1,441.7219
CN1N=NN=N1,426.1476
N=C1NC=NO1,427.0036
N=C1NN=NN1,426.0399
N=C1OC=NO1,408.4841
N=C1ON=NO1,394.0664
NC1=CC=NN1,473.2325
NC1=CC=NO1,454.2223
NC1=CN=NN1,454.6522
NC1=CN=NO1,438.4749
NC1=CNN=C1,479.6864
NC1=CNN=N1,452.8301
NC1=CON=C1,467.0228
NC1=CON=N1,441.012
NC1=NC=NN1,445.3236
NC1=NC=NO1,427.0676
NC1=NNC=C1,471.2006
NC1=NNC=N1,443.4355
NC1=NNN=C1,451.4203
NC1=NNN=N1,425.7517
NC1=NOC=C1,457.8147
NC1=NOC=N1,430.7491
NC1=NON=C1,441.3213
NC1=NON=N1,416.0147
O=C1NC=NN1,424.7483
O=C1NC=NO1,409.3135
O=C1NN=NN1,407.6505
O=C1NN=NO1,392.3951
O=C1OC=NO1,391.4571
O=C1ON=NO1,377.0208
OC1=CC=NN1,453.3207
OC1=CNN=C1,460.0724
OC1=CNN=N1,432.8267
OC1=NC=NN1,425.543
OC1=NNC=C1,451.1913
OC1=NNC=N1,424.4139
OC1=NNN=C1,431.818
OC1=NNN=N1,406.9969
OC1=NOC=C1,438.1162
OC1=NOC=N1,412.1914
OC1=NON=N1,397.7928
CC#CC(C)=NO,1093.1501
CC(CC#C)=NO,906.4382
CC(CC#N)=NO,880.8138
CC(CC=O)=NO,906.7981
CC(CCO)=NO,1051.1719
CCCC(C)=NO,1110.8362
COCC(C)=NO,903.075
CC(=NO)C(C)=NO,1148.5611
CC(=NO)C(N)=O,792.723
CC(C)C(C)=NO,904.2528
CC(O)C(C)=NO,867.5699
CC1CC(C1)=NO,910.3952
CN1CC(C1)=NO,874.4591
ON=C1CC(O)C1,858.7692
ON=C(C#C)C#C,762.5217
CCC(=NO)C#C,830.6001
OCC(=NO)C#C,796.2944
CCC(CC)=NO,933.3907
CCC(CO)=NO,881.0455
CC1CCC1=NO,827.5468
CC1NCC1=NO,807.1883
CC1OCC1=NO,788.5191
ON=C1CCC1O,780.2381
ON=C1CC=CC1,750.3356
ON=C1CCC=C1,764.0667
ON=C1CNC=C1,733.962
ON=C1CCCC1,805.7743
ON=C1CCOC1,756.6641
CC(=NO)C1CC1,847.5087
CC(=NO)C1CN1,816.0754
CC(=NO)C1CO1,829.7464
ON=C1CC2CC12,740.1344
ON=C1CC2NC12,722.119
ON=C1CC2OC12,703.5367
ON=C1CN2CC12,719.4536
FC(F)(F)C#C,466.6507
FC(F)(F)C#N,446.1697
FC(F)(F)C=O,454.0732
NCC(F)(F)F,506.0529
OCC(F)(F)F,487.4189
CCC(F)(F)F,529.7582
CC1=CC(C)=CN1,823.6177
CC1=CC(C)=CO1,801.4743
CC1=CC(N)=CN1,789.8474
CC1=CC(N)=CO1,767.2702
CC1=CC(O)=CN1,767.312
CC1=CC(O)=CO1,745.1526
CC1=CNC(N)=C1,791.4086
CC1=CNC(O)=C1,766.9122
CC1=CNC(O)=N1,722.6311
CC1=COC(N)=C1,766.5941
CC1=COC(N)=N1,723.5225
CC1=COC(O)=N1,703.0693
CC1=NC(C)=CN1,780.073
CC1=NC(C)=CO1,759.2008
CC1=NC(N)=CO1,724.1518
CC1=NC(O)=CN1,722.6235
CC1=NC(O)=CO1,701.6757
NC1=CC(N)=CN1,757.9357
NC1=CC(N)=CO1,732.6467
NC1=CC(O)=CN1,735.898
NC1=CC(O)=CO1,710.6391
NC1=CNC(O)=C1,733.6699
NC1=CNC(O)=N1,688.6177
NC1=COC(O)=N1,668.3308
NC1=NC(N)=CO1,688.8067
NC1=NC(O)=CN1,688.7054
NC1=NC(O)=CO1,666.4198
OC1=CC(O)=CN1,711.4937
OC1=NC(O)=CN1,666.0864
CC1=CC=C(C)N1,810.2976
CC1=CC=C(C)O1,776.8712
CC1=CC=C(N)N1,779.2426
CC1=CC=C(N)O1,744.0315
CC1=CC=C(O)N1,755.0624
CC1=CN=C(C)O1,750.3418
CC1=CN=C(N)O1,716.5148
CC1=CN=C(O)N1,726.3185
CC1=CN=C(O)O1,695.4339
CC1=NC=C(N)O1,717.3895
CC1=NC=C(O)N1,727.3056
NC1=CC=C(N)N1,748.8092
NC1=CC=C(N)O1,715.172
NC1=CC=C(O)N1,725.6234
NC1=CC=C(O)O1,693.7941
NC1=CN=C(N)O1,687.7705
NC1=CN=C(O)N1,696.1402
NC1=CN=C(O)O1,666.9129
OC1=CC=C(O)N1,700.6426
OC1=CN=C(O)N1,671.6545
CC1=CNC(=N)O1,712.3352
CC1=CNC(=O)N1,721.2931
CC1=CNC(=O)O1,692.3648
CC1=COC(=N)N1,720.44
CC1=COC(=N)O1,691.3594
CC1=COC(=O)N1,700.8791
CC1=COC(=O)O1,672.3819
NC1=CNC(=N)O1,679.0822
NC1=CNC(=O)N1,689.3551
NC1=CNC(=O)O1,659.6148
NC1=COC(=N)O1,662.8337
NC1=COC(=O)N1,668.2968
NC1=COC(=O)O1,639.068
OC1=CNC(=N)O1,658.0445
OC1=CNC(=O)N1,666.7767
OC1=CNC(=O)O1,638.5325
OC1=COC(=N)N1,665.4617
OC1=COC(=N)O1,636.5841
OC1=COC(=O)O1,618.2559
CN1C=CC(C)=C1,805.9643
CN1C=CC(N)=C1,773.113
CN1C=CC(O)=C1,750.6495
CN1C=NC(C)=C1,777.9635
CN1C=NC(N)=C1,744.091
CN1C=NC(O)=C1,720.9454
N=C1C=COC=N1,604.8294
N=C1N=CNC=N1,593.0185
N=C1N=COC=N1,575.5169
O=C1C=CNC=C1,636.0533
O=C1C=CNC=N1,604.9605
O=C1C=COC=C1,617.7884
O=C1C=COC=N1,587.4329
O=C1N=COC=N1,558.3529
N=C1NC=NC=N1,590.8998
N=C1OC=CC=C1,626.3181
N=C1OC=CC=N1,597.0822
N=C1OC=CN=C1,600.6297
N=C1OC=NC=C1,601.5686
N=C1OC=NC=N1,572.3677
O=C1NC=CC=C1,629.1283
O=C1NC=CC=N1,598.3612
O=C1NC=CN=C1,603.4675
O=C1NC=NC=C1,604.0391
O=C1NC=NC=N1,573.4433
