smiles,mu
CN(C)C(C)=O,3.5335
CN(C)C(N)=O,3.6689
CC(C)C(C)C,0.0
CC(C)C(C)O,1.414
CC(O)C(C)O,0.1664
CC1(C)CCC1,0.0245
CC1(C)CCO1,1.636
CC1(C)COC1,1.888
CC1(O)CCC1,1.3454
CC1(O)COC1,2.486
CC1(C)CC1O,1.2792
CC1(O)CC1O,1.9707
CC1CC1(C)C,0.0963
CC1CC1(C)O,1.2745
CC1OC1(C)C,1.7972
CN1CC1(C)C,1.1514
CC1CC(=N)O1,2.8604
CC1CC(=O)C1,2.8997
CC1CC(=O)N1,3.855
CC1CC(=O)O1,4.16
CN1CC(=O)C1,2.5981
OC1CC(=O)C1,3.0457
CC1CC(C)C1,0.1412
CC1CC(C)O1,1.5588
CC1CC(O)C1,1.398
CN1CC(O)C1,1.5574
OC1CC(O)C1,1.3233
CC12CC(C1)C2,0.2077
CC12CC(C1)O2,1.8191
CC12CN(C1)C2,1.9709
OC12CC(C1)C2,1.329
OC12CN(C1)C2,1.7613
O=C(C#C)C#C,3.1111
O=C(C#C)C#N,3.7814
O=C(C#N)C#N,0.6341
O=CC(=O)C#C,4.3138
O=CC(=O)C#N,1.4415
O=CC(=O)C=O,3.4458
CC(C#C)C#C,0.6022
CC(C#C)C#N,3.7481
CC(C#N)C#N,4.1272
NC(C#C)C#N,2.5088
NC(C#N)C#N,3.6178
OC(C#C)C#C,1.3299
OC(C#C)C#N,3.263
OC(C#N)C#N,2.3093
CC(C=O)C#C,2.3065
CC(C=O)C#N,2.7273
OC(C=O)C#C,2.1664
OC(C=O)C#N,2.9799
CC(C=O)C=O,3.0426
CN(C=N)C=O,2.4166
CN(C=O)C=O,0.6161
OC(C=O)C=O,3.3417
CN=C(N)C#N,5.1006
CN=C(N)C=O,2.7489
CCC(=O)C#C,2.733
CCC(=O)C#N,3.5163
CNC(=N)C#N,3.0753
CNC(=O)C#C,3.6839
COC(=O)C#C,1.7556
COC(=O)C#N,4.0593
OCC(=O)C#C,4.1336
OCC(=O)C#N,4.1197
CCC(=O)C=O,1.0401
CNC(=N)C=O,3.7361
CNC(=O)C=O,5.2806
COC(=O)C=O,3.7746
OCC(=O)C=O,5.1353
CCC(=O)CC,2.5012
CCC(=O)CO,3.84
CCC(=O)NC,3.4247
CCC(=O)OC,1.6323
CNC(=O)CO,4.3706
CNC(=O)NC,3.5856
CNC(=O)OC,2.2967
COC(=O)CN,1.6419
COC(=O)CO,2.8141
OCC(=O)CO,5.1141
COC(C)=NC,0.8775
CC(CO)C#C,1.3163
CC(CO)C#N,3.7371
CCC(C)C#C,0.7089
CCC(C)C#N,4.0632
CCC(N)C#N,2.8538
CCC(O)C#C,1.3296
CCC(O)C#N,3.3465
CNC(C)C#N,4.4075
COC(C)C#C,1.41
COC(C)C#N,3.2128
NC(CO)C#N,4.5745
NCC(N)C#N,4.8739
NCC(O)C#N,3.5369
OCC(O)C#C,2.1731
OCC(O)C#N,2.1065
CC(CO)C=O,1.4722
CCC(C)C=O,2.7619
CCC(O)C=O,2.216
CCN(C)C=O,3.8246
COC(C)C=O,2.7851
OCC(O)C=O,1.2875
CC(CO)CO,2.6348
CCC(C)CC,0.067
CCC(C)CO,1.3482
CCC(C)OC,1.0377
CCC(O)CC,1.4336
CCC(O)CO,2.3512
COC(C)CO,2.2435
OCC(O)CO,1.7715
CC1(CC1)C#C,0.7654
CC1(CC1)C#N,4.1425
CC1(CN1)C#C,1.9146
CC1(CN1)C#N,4.9191
CC1(CO1)C#C,1.7508
CC1(CO1)C#N,3.8379
NC1(CC1)C#N,3.0748
OC1(CC1)C#C,1.2031
OC1(CC1)C#N,3.5524
CC1(CC1)C=O,2.9392
CC1(CN1)C=O,3.0447
CC1(CO1)C=O,2.2978
OC1(CC1)C=O,2.375
CC1(CO)CC1,1.3206
CC1(CO)CN1,2.1168
CC1(CO)CO1,1.7232
CCC1(C)CC1,0.1151
CCC1(C)CO1,1.7595
CCC1(O)CC1,1.3751
COC1(C)CC1,1.104
OCC1(O)CC1,2.0651
CC1CCC1=O,2.6766
CC1CNC1=O,3.5654
CC1COC1=N,2.5239
CC1COC1=O,3.9998
CC1NCC1=O,2.556
CC1OCC1=O,0.9705
CN1CCC1=O,3.6013
NC1COC1=N,1.33
NC1COC1=O,2.9069
OC1CCC1=O,2.1771
OC1CNC1=O,2.5208
OC1COC1=N,1.2035
OC1COC1=O,3.0125
CC1CCC1C,0.1206
CC1CCC1O,1.3078
CC1COC1C,1.7671
CC1OCC1O,2.3269
OC1CCC1O,1.022
N=C1CN=CN1,3.4388
O=C1CC=CC1,2.5958
O=C1CC=CN1,3.246
O=C1CN=CN1,2.525
O=C1CN=CO1,1.6338
N=C1OCC=C1,3.3473
O=C1CCC=C1,3.5709
O=C1NCC=C1,4.2248
N=C1CCCO1,3.1568
N=C1COCO1,1.8361
N=C1OCCO1,4.2769
O=C1CCCC1,2.8451
O=C1CCCN1,3.7977
O=C1CCCO1,4.3159
O=C1CCOC1,1.8765
O=C1COCO1,2.7134
O=C1NCCN1,3.9802
O=C1NCCO1,4.8739
O=C1OCCO1,5.0601
CC1=CCCC1,0.2336
CC1=CCOC1,1.8189
CC1=NCCO1,1.2483
CC1CC=CC1,0.1489
CC1CN=CO1,1.8411
OC1CC=CC1,1.4817
CC1CCC=C1,0.1605
CC1COC=N1,1.5301
CC1OCC=C1,1.4505
OC1CCC=C1,1.7344
CC1CCCC1,0.0756
CC1CCCO1,1.5053
CC1CCOC1,1.7082
CC1COCO1,1.2942
CC1OCCO1,1.0448
OC1CCCC1,1.3247
OC1CCOC1,1.5931
CC1C(C)C1C,0.0164
CC1C(C)C1O,1.3139
CC1C(C)N1C,1.3293
CC1C(O)C1O,1.9714
OC1C(O)C1O,0.6618
CC12CC1CC2,0.3029
CC12CC1CO2,1.6329
CC12CC1OC2,1.8852
CC12CCC1O2,1.8535
OC12CC1CC2,1.1413
OC12CC1OC2,2.2569
C#CC#CC#C,0.0151
C#CC#CC#N,4.5941
N#CC#CC#N,0.0
C#CCCC#C,0.0008
C#CCCC#N,3.4446
N#CCCC#N,0.0004
O=CC#CC#C,3.248
O=CC#CC#N,2.4648
O=CC#CC=O,2.3737
N=COCC#C,3.3466
N=COCC#N,3.3728
O=CCCC#C,2.1557
O=CCCC#N,2.4084
O=CNCC#C,3.3746
O=CNCC#N,3.6197
O=COCC#C,3.7921
O=COCC#N,3.8224
N=COCC=O,2.1434
O=CCCC=O,0.0008
O=CCNC=O,3.1684
O=CCOC=O,1.8826
CC#CC#CC,0.0009
CC#CCC#C,0.7462
CC#CCC#N,4.0685
CC#CCC=O,2.7868
CN=CNC=O,4.5664
CN=COC=O,4.1826
CCC#CC#C,1.2338
CCC#CC#N,5.2846
OCC#CC#C,1.9151
OCC#CC#N,5.7112
CCC#CC=O,3.9327
OCC#CC=O,3.9039
CCC#CCC,0.0
CCC#CCO,1.263
OCC#CCO,1.4538
CCN=COC,2.8394
CC#CCCO,1.514
CCCC#CC,0.1495
COCC#CC,0.9061
CCOC=NC,2.8689
CCCCC#C,0.835
CCCCC#N,4.1681
CCNCC#N,4.2405
CCOCC#C,1.2818
CCOCC#N,4.5806
COCCC#C,1.0683
COCCC#N,3.7667
OCCCC#C,1.8394
OCCCC#N,4.9959
CCCCC=O,2.8209
CCCNC=O,3.6925
CCCOC=O,4.1439
CCOCC=O,2.899
COCCC=O,2.8428
OCCCC=O,3.2791
OCCNC=O,4.0088
OCCOC=N,3.0286
OCCOC=O,3.2052
CCCCCC,0.0
CCCCCO,1.3185
CCCCOC,1.0198
CCCOCC,0.8667
CCOCCO,2.2344
COCCCO,2.365
COCCOC,0.0023
OCCCCO,0.0002
C#CC1CCC1,0.7819
C#CC1CCO1,1.8509
C#CC1COC1,1.2731
N#CC1CCC1,4.1766
N#CC1CCN1,3.0536
N#CC1CCO1,4.2848
N#CC1COC1,2.742
O=CC1CCC1,2.8867
O=CC1CCO1,2.8301
O=CC1COC1,1.1864
O=CN1CCC1,4.2072
CN=C1CCO1,2.0739
CCC1CCC1,0.0792
CCC1CCO1,1.6234
CCC1COC1,1.9413
COC1CCC1,1.0403
COC1COC1,2.1966
OCC1CCC1,1.2955
OCC1CCO1,2.5785
OCC1COC1,2.2789
C#CCC1CC1,0.6877
C#CCC1CO1,1.9719
C#CCN1CC1,0.8803
N#CCC1CC1,4.0027
N#CCC1CN1,4.3345
N#CCC1CO1,4.8091
N#CCN1CC1,4.358
N=COC1CC1,3.3988
O=CCC1CC1,2.7826
O=CCC1CN1,2.6802
O=CCC1CO1,2.8138
O=CCN1CC1,2.6644
O=CNC1CC1,3.5897
O=COC1CC1,3.9549
CC#CC1CC1,0.1421
CC#CC1CN1,1.9282
CC#CC1CO1,2.024
CCCC1CC1,0.1174
CCCC1CO1,1.6966
CCCN1CC1,1.0196
CCOC1CC1,0.9952
COCC1CC1,0.9417
COCC1CN1,2.561
COCC1CO1,2.483
OCCC1CC1,1.392
OCCC1CO1,1.0902
OCCN1CC1,2.7069
CC1CC1C#C,0.8753
CC1CC1C#N,4.1979
CC1NC1C#C,1.6946
CC1NC1C#N,4.7574
CC1OC1C#C,1.7653
CC1OC1C#N,3.7031
CN1CC1C#C,0.9125
CN1CC1C#N,3.0219
OC1CC1C#C,1.2269
OC1CC1C#N,4.0674
CC1CC1C=O,3.3091
CC1CN1C=O,3.6028
CC1NC1C=O,3.196
CC1OC1C=O,3.1275
CN1CC1C=O,1.4054
OC1CC1C=O,4.3878
CC1CC1CO,1.3825
CC1NC1CO,2.3104
CC1OC1CO,2.0793
CCC1CC1C,0.117
CCC1CC1O,1.2983
CCC1CN1C,1.2559
CCC1OC1C,1.7551
CCN1CC1C,1.1836
CN1CC1CO,2.1379
COC1CC1C,0.9946
COC1CC1O,1.6821
OCC1CC1O,1.0353
CC(=O)C1CC1,2.6757
CC(=O)C1CN1,2.4621
CC(=O)C1CO1,2.0825
CC(=O)N1CC1,3.0813
NC(=O)C1CC1,3.4477
NC(=O)C1CN1,3.5751
NC(=O)C1CO1,2.4867
NC(=O)N1CC1,3.0016
CC(C)C1CC1,0.0271
CC(C)C1CO1,1.7161
CC(C)N1CC1,1.0303
CC(O)C1CC1,1.5102
CC(O)C1CN1,2.731
CC(O)C1CO1,1.5413
C1CC11CCC1,0.1291
C1CC11CCO1,1.6374
C1CC11COC1,1.8251
C1NC11COC1,1.9279
C1OC11CCC1,1.8101
C1OC11COC1,1.7363
C1C2CC1C=C2,0.1535
C1C2OC1C=C2,1.7949
C1C2CC1CC2,0.047
C1C2CC1OC2,1.6503
C1C2CCC1O2,1.6655
CC1C2CC1C2,0.1283
CC1C2CC1O2,1.993
OC1C2CC1C2,1.4563
OC1C2CC1O2,1.8437
C1CC=CCO1,1.1836
C1CCC=CC1,0.2447
C1COC=NC1,2.2186
C1CCCCC1,0.0
C1CCOCC1,1.3202
C1COCCO1,0.0
C1COCOC1,1.8428
C1CC2CCC12,0.1319
C1CC2OCC12,1.7554
C1OC2COC12,1.2594
CC1C2CCC12,0.1799
CC1C2COC12,1.6332
OC1C2CCC12,1.3959
OC1C2COC12,1.6786
C1C2CC=CC12,0.2073
C1C2OC=NC12,1.5227
C1C=CC2NC12,1.4999
C1C=CC2OC12,1.8478
C1C2CCCC12,0.1741
C1C2CCOC12,1.3987
C1C2COCC12,1.5611
C1C2OCOC12,1.059
C1CC2OC2C1,1.8302
C1OCC2NC12,2.8893
C1OCC2OC12,2.2543
N=C1OC2CC12,2.6904
O=C1CC2CC12,3.2426
O=C1CC2CN12,3.8131
O=C1CC2NC12,3.691
O=C1CC2OC12,2.7712
O=C1CN2CC12,2.1794
O=C1NC2CC12,3.7175
O=C1OC2CC12,4.1654
CC1CC2CC12,0.2782
CC1CC2OC12,1.8181
CC1OC2CC12,1.6252
OC1CC2CC12,1.4055
OC1CC2NC12,2.6703
OC1CC2OC12,1.9201
OC1CN2CC12,1.7907
C1C2C3CC2C13,0.0
C1C2C3CN2C13,1.6815
C1C2C3OC2C13,1.8496
N1C2C3NC2C13,1.5668
N1C2C3OC2C13,1.4437
O1C2C3OC2C13,0.0
C1CC1C1CC1,0.0
C1CC1C1CO1,1.8416
C1CC1N1CC1,1.0782
C1NC1C1CN1,2.8886
C1NC1C1CO1,2.6444
C1OC1C1CO1,1.903
C1C2C1C1CC21,0.339
C1C2C1C1NC21,1.6601
C1C2C1C1OC21,1.8604
C1C2C1N1CC21,1.5349
N1C2C1C1NC21,2.8506
N1C2C1C1OC21,3.3094
O1C2C1C1OC21,3.1711
C1C2C3C1CN23,1.7558
C1C2C3CC1C23,0.2808
C1C2C3CC1N23,1.6922
C1C2C3CN1C23,1.6597
C1C2C3OC1C23,1.7566
C12C3C1C1C2C31,0.0001
C12C3C1N1C2C31,1.9051
C1=CN=NC=C1,3.9853
C1=CN=NN=C1,4.753
C1=NN=CN=N1,0.0004
C1=NN=NC=N1,2.5272
C1=NN=NN=C1,4.38
CC1=CC=NN1,2.6766
CC1=CC=NO1,3.1194
CC1=CN=NN1,4.8091
CC1=CN=NO1,4.0664
CC1=CNN=C1,2.2444
CC1=CNN=N1,4.1169
CC1=CON=C1,3.2522
CC1=CON=N1,3.6981
CC1=NC=NN1,3.1055
CC1=NC=NO1,1.8949
CC1=NNC=C1,1.9119
CC1=NNC=N1,2.3091
CC1=NNN=C1,0.5006
CC1=NNN=N1,2.0655
CC1=NOC=C1,2.8649
CC1=NOC=N1,1.0701
CC1=NON=C1,3.7027
CC1=NON=N1,2.7404
CN1C=CC=N1,2.2871
CN1C=CN=N1,4.458
CN1C=NC=N1,3.1995
CN1C=NN=C1,5.9568
CN1C=NN=N1,5.7041
CN1N=CC=N1,0.4905
CN1N=CN=N1,2.7916
CN1N=NN=N1,4.7538
N=C1NC=NO1,3.3378
N=C1NN=NN1,1.4387
N=C1OC=NO1,1.7372
N=C1ON=NO1,1.3883
NC1=CC=NN1,3.385
NC1=CC=NO1,3.8286
NC1=CN=NN1,5.383
NC1=CN=NO1,5.0217
NC1=CNN=C1,2.6547
NC1=CNN=N1,4.0185
NC1=CON=C1,3.9291
NC1=CON=N1,4.0976
NC1=NC=NN1,3.6291
NC1=NC=NO1,3.0643
NC1=NNC=C1,1.7832
NC1=NNC=N1,1.9435
NC1=NNN=C1,1.525
NC1=NNN=N1,2.3205
NC1=NOC=C1,3.1792
NC1=NOC=N1,1.8006
NC1=NON=C1,4.3899
NC1=NON=N1,3.6429
O=C1NC=NN1,2.7251
O=C1NC=NO1,5.0233
O=C1NN=NN1,0.3207
O=C1NN=NO1,2.925
O=C1OC=NO1,3.3641
O=C1ON=NO1,1.0079
OC1=CC=NN1,2.8587
OC1=CNN=C1,0.8594
OC1=CNN=N1,2.8417
OC1=NC=NN1,2.1239
OC1=NNC=C1,2.1199
OC1=NNC=N1,2.8755
OC1=NNN=C1,1.2703
OC1=NNN=N1,0.8171
OC1=NOC=C1,1.6519
OC1=NOC=N1,2.7179
OC1=NON=N1,2.5588
CC#CC(C)=NO,0.9081
CC(CC#C)=NO,0.4796
CC(CC#N)=NO,3.5818
CC(CC=O)=NO,2.0372
CC(CCO)=NO,0.8991
CCCC(C)=NO,0.7013
COCC(C)=NO,0.7169
CC(=NO)C(C)=NO,0.0
CC(=NO)C(N)=O,3.3526
CC(C)C(C)=NO,0.5991
CC(O)C(C)=NO,1.4965
CC1CC(C1)=NO,1.0383
CN1CC(C1)=NO,0.896
ON=C1CC(O)C1,1.6073
ON=C(C#C)C#C,0.468
CCC(=NO)C#C,0.6625
OCC(=NO)C#C,1.7906
CCC(CC)=NO,0.6108
CCC(CO)=NO,2.0392
CC1CCC1=NO,0.8203
CC1NCC1=NO,1.1445
CC1OCC1=NO,1.103
ON=C1CCC1O,0.9638
ON=C1CC=CC1,0.6622
ON=C1CCC=C1,1.3282
ON=C1CNC=C1,2.4693
ON=C1CCCC1,0.9192
ON=C1CCOC1,1.01
CC(=NO)C1CC1,0.6127
CC(=NO)C1CN1,1.6908
CC(=NO)C1CO1,1.5017
ON=C1CC2CC12,1.2435
ON=C1CC2NC12,2.0903
ON=C1CC2OC12,1.8161
ON=C1CN2CC12,0.9303
FC(F)(F)C#C,2.0892
FC(F)(F)C#N,1.5146
FC(F)(F)C=O,1.5527
NCC(F)(F)F,2.7647
OCC(F)(F)F,3.0238
CCC(F)(F)F,2.0586
CC1=CC(C)=CN1,1.7549
CC1=CC(C)=CO1,0.6525
CC1=CC(N)=CN1,1.7982
CC1=CC(N)=CO1,1.4862
CC1=CC(O)=CN1,1.9591
CC1=CC(O)=CO1,2.07
CC1=CNC(N)=C1,1.4975
CC1=CNC(O)=C1,0.8606
CC1=CNC(O)=N1,1.8932
CC1=COC(N)=C1,1.5216
CC1=COC(N)=N1,1.5474
CC1=COC(O)=N1,2.5185
CC1=NC(C)=CN1,3.2012
CC1=NC(C)=CO1,1.0064
CC1=NC(N)=CO1,1.2965
CC1=NC(O)=CN1,2.949
CC1=NC(O)=CO1,1.1474
NC1=CC(N)=CN1,1.9695
NC1=CC(N)=CO1,2.4064
NC1=CC(O)=CN1,2.2284
NC1=CC(O)=CO1,2.7516
NC1=CNC(O)=C1,1.1622
NC1=CNC(O)=N1,1.7543
NC1=COC(O)=N1,2.3447
NC1=NC(N)=CO1,2.1678
NC1=NC(O)=CN1,3.1172
NC1=NC(O)=CO1,2.3094
OC1=CC(O)=CN1,2.0191
OC1=NC(O)=CN1,1.7847
CC1=CC=C(C)N1,1.8965
CC1=CC=C(C)O1,0.1269
CC1=CC=C(N)N1,1.4242
CC1=CC=C(N)O1,1.3555
CC1=CC=C(O)N1,0.8444
CC1=CN=C(C)O1,1.7659
CC1=CN=C(N)O1,1.9777
CC1=CN=C(O)N1,2.3274
CC1=CN=C(O)O1,0.7781
CC1=NC=C(N)O1,2.5916
CC1=NC=C(O)N1,2.6666
NC1=CC=C(N)N1,0.3173
NC1=CC=C(N)O1,2.0265
NC1=CC=C(O)N1,0.343
NC1=CC=C(O)O1,2.0293
NC1=CN=C(N)O1,2.9043
NC1=CN=C(O)N1,1.9578
NC1=CN=C(O)O1,1.1577
OC1=CC=C(O)N1,0.4363
OC1=CN=C(O)N1,1.5885
CC1=CNC(=N)O1,3.5255
CC1=CNC(=O)N1,3.995
CC1=CNC(=O)O1,4.7534
CC1=COC(=N)N1,3.7223
CC1=COC(=N)O1,3.9101
CC1=COC(=O)N1,5.1359
CC1=COC(=O)O1,4.8929
NC1=CNC(=N)O1,4.0951
NC1=CNC(=O)N1,4.7064
NC1=CNC(=O)O1,5.1829
NC1=COC(=N)O1,3.0803
NC1=COC(=O)N1,5.6891
NC1=COC(=O)O1,5.5589
OC1=CNC(=N)O1,2.3767
OC1=CNC(=O)N1,4.6832
OC1=CNC(=O)O1,3.114
OC1=COC(=N)N1,4.0805
OC1=COC(=N)O1,2.3081
OC1=COC(=O)O1,3.6671
CN1C=CC(C)=C1,1.8384
CN1C=CC(N)=C1,1.8575
CN1C=CC(O)=C1,1.7744
CN1C=NC(C)=C1,3.5741
CN1C=NC(N)=C1,3.1927
CN1C=NC(O)=C1,3.0931
N=C1C=COC=N1,3.2038
N=C1N=CNC=N1,6.8848
N=C1N=COC=N1,4.1255
O=C1C=CNC=C1,6.5185
O=C1C=CNC=N1,7.3926
O=C1C=COC=C1,3.7714
O=C1C=COC=N1,4.7817
O=C1N=COC=N1,5.2453
N=C1NC=NC=N1,2.5204
N=C1OC=CC=C1,3.2154
N=C1OC=CC=N1,4.7952
N=C1OC=CN=C1,2.6467
N=C1OC=NC=C1,1.2327
N=C1OC=NC=N1,3.1519
O=C1NC=CC=C1,4.0148
O=C1NC=CC=N1,5.7625
O=C1NC=CN=C1,3.9263
O=C1NC=NC=C1,2.1772
O=C1NC=NC=N1,4.2703
O=C1OC=CC=C1,4.4021
O=C1OC=CC=N1,5.4728
