smiles,gap
O=CCC1CO1,0.2249
O=CCN1CC1,0.2245
O=CNC1CC1,0.2757
O=COC1CC1,0.2785
CC#CC1CC1,0.2837
CC#CC1CN1,0.2698
CC#CC1CO1,0.276
CCCC1CC1,0.3661
CCCC1CO1,0.3582
CCCN1CC1,0.3227
CCOC1CC1,0.3376
COCC1CC1,0.3419
COCC1CN1,0.3228
COCC1CO1,0.3412
OCCC1CC1,0.3424
OCCC1CO1,0.343
OCCN1CC1,0.333
CC1CC1C#C,0.2907
CC1CC1C#N,0.3174
CC1NC1C#C,0.2832
CC1NC1C#N,0.2936
CC1OC1C#C,0.281
CC1OC1C#N,0.2951
CN1CC1C#C,0.2631
CN1CC1C#N,0.2692
OC1CC1C#C,0.2864
OC1CC1C#N,0.3029
CC1CC1C=O,0.2288
CC1CN1C=O,0.2544
CC1NC1C=O,0.222
CC1OC1C=O,0.2169
CN1CC1C=O,0.1969
OC1CC1C=O,0.2289
CC1CC1CO,0.3366
CC1NC1CO,0.3186
CC1OC1CO,0.3423
CCC1CC1C,0.357
CCC1CC1O,0.3338
CCC1CN1C,0.3065
CCC1OC1C,0.3538
CCN1CC1C,0.3128
CN1CC1CO,0.2927
COC1CC1C,0.3346
COC1CC1O,0.3028
OCC1CC1O,0.329
CC(=O)C1CC1,0.2339
CC(=O)C1CN1,0.2334
CC(=O)C1CO1,0.224
CC(=O)N1CC1,0.253
NC(=O)C1CC1,0.2784
NC(=O)C1CN1,0.2697
NC(=O)C1CO1,0.2627
NC(=O)N1CC1,0.2831
CC(C)C1CC1,0.3665
CC(C)C1CO1,0.3501
CC(C)N1CC1,0.3196
CC(O)C1CC1,0.3376
CC(O)C1CN1,0.2983
CC(O)C1CO1,0.351
C1CC11CCC1,0.3562
C1CC11CCO1,0.3051
C1CC11COC1,0.3106
C1NC11COC1,0.3037
C1OC11CCC1,0.3343
C1OC11COC1,0.3209
C1C2CC1C=C2,0.2404
C1C2OC1C=C2,0.2354
C1C2CC1CC2,0.3879
C1C2CC1OC2,0.3339
C1C2CCC1O2,0.335
CC1C2CC1C2,0.3939
CC1C2CC1O2,0.3232
OC1C2CC1C2,0.3278
OC1C2CC1O2,0.3019
C1CC=CCO1,0.2671
C1CCC=CC1,0.268
C1COC=NC1,0.2732
C1CCCCC1,0.3783
C1CCOCC1,0.3324
C1COCCO1,0.3304
C1COCOC1,0.3513
C1CC2CCC12,0.3476
C1CC2OCC12,0.3159
C1OC2COC12,0.3068
CC1C2CCC12,0.3413
CC1C2COC12,0.3148
OC1C2CCC12,0.3221
OC1C2COC12,0.2971
C1C2CC=CC12,0.2495
C1C2OC=NC12,0.2608
C1C=CC2NC12,0.247
C1C=CC2OC12,0.2477
C1C2CCCC12,0.3524
C1C2CCOC12,0.3186
C1C2COCC12,0.3407
C1C2OCOC12,0.3209
C1CC2OC2C1,0.3533
C1OCC2NC12,0.3149
C1OCC2OC12,0.3521
N=C1OC2CC12,0.2804
O=C1CC2CC12,0.2329
O=C1CC2CN12,0.2378
O=C1CC2NC12,0.2224
O=C1CC2OC12,0.2179
O=C1CN2CC12,0.225
O=C1NC2CC12,0.2561
O=C1OC2CC12,0.2794
CC1CC2CC12,0.3435
CC1CC2OC12,0.3397
CC1OC2CC12,0.3204
OC1CC2CC12,0.3269
OC1CC2NC12,0.3133
OC1CC2OC12,0.3294
OC1CN2CC12,0.2971
C1C2C3CC2C13,0.3958
C1C2C3CN2C13,0.324
C1C2C3OC2C13,0.3099
N1C2C3NC2C13,0.2876
N1C2C3OC2C13,0.2929
O1C2C3OC2C13,0.2942
C1CC1C1CC1,0.3399
C1CC1C1CO1,0.3534
C1CC1N1CC1,0.3114
C1NC1C1CN1,0.3032
C1NC1C1CO1,0.3238
C1OC1C1CO1,0.3373
C1C2C1C1CC21,0.2941
C1C2C1C1NC21,0.2857
C1C2C1C1OC21,0.2952
C1C2C1N1CC21,0.2917
N1C2C1C1NC21,0.2717
N1C2C1C1OC21,0.2785
O1C2C1C1OC21,0.2955
C1C2C3C1CN23,0.3294
C1C2C3CC1C23,0.3515
C1C2C3CC1N23,0.3314
C1C2C3CN1C23,0.3121
C1C2C3OC1C23,0.3137
C12C3C1C1C2C31,0.3092
C12C3C1N1C2C31,0.2821
C1=CN=NC=C1,0.1826
C1=CN=NN=C1,0.186
C1=NN=CN=N1,0.1355
C1=NN=NC=N1,0.1627
C1=NN=NN=C1,0.166
CC1=CC=NN1,0.2577
CC1=CC=NO1,0.2456
CC1=CN=NN1,0.2527
CC1=CN=NO1,0.2351
CC1=CNN=C1,0.2601
CC1=CNN=N1,0.2526
CC1=CON=C1,0.247
CC1=CON=N1,0.2326
CC1=NC=NN1,0.2675
CC1=NC=NO1,0.2639
CC1=NNC=C1,0.2689
CC1=NNC=N1,0.27
CC1=NNN=C1,0.2596
CC1=NNN=N1,0.264
CC1=NOC=C1,0.2566
CC1=NOC=N1,0.2687
CC1=NON=C1,0.26
CC1=NON=N1,0.25
CN1C=CC=N1,0.2625
CN1C=CN=N1,0.2591
CN1C=NC=N1,0.2716
CN1C=NN=C1,0.2659
CN1C=NN=N1,0.2678
CN1N=CC=N1,0.2577
CN1N=CN=N1,0.2662
CN1N=NN=N1,0.2723
N=C1NC=NO1,0.2287
N=C1NN=NN1,0.2045
N=C1OC=NO1,0.2413
N=C1ON=NO1,0.2189
NC1=CC=NN1,0.244
NC1=CC=NO1,0.2307
NC1=CN=NN1,0.236
NC1=CN=NO1,0.2167
NC1=CNN=C1,0.2257
NC1=CNN=N1,0.217
NC1=CON=C1,0.2138
NC1=CON=N1,0.1965
NC1=NC=NN1,0.255
NC1=NC=NO1,0.249
NC1=NNC=C1,0.2353
NC1=NNC=N1,0.2332
NC1=NNN=C1,0.2241
NC1=NNN=N1,0.2194
NC1=NOC=C1,0.2357
NC1=NOC=N1,0.2309
NC1=NON=C1,0.2173
NC1=NON=N1,0.2038
O=C1NC=NN1,0.2421
O=C1NC=NO1,0.2527
O=C1NN=NN1,0.2325
O=C1NN=NO1,0.2397
O=C1OC=NO1,0.2672
O=C1ON=NO1,0.2469
OC1=CC=NN1,0.258
OC1=CNN=C1,0.2369
OC1=CNN=N1,0.2284
OC1=NC=NN1,0.2703
OC1=NNC=C1,0.2478
OC1=NNC=N1,0.2475
OC1=NNN=C1,0.2377
OC1=NNN=N1,0.2378
OC1=NOC=C1,0.2518
OC1=NOC=N1,0.2469
OC1=NON=N1,0.2227
CC#CC(C)=NO,0.2034
CC(CC#C)=NO,0.2556
CC(CC#N)=NO,0.2536
CC(CC=O)=NO,0.2077
CC(CCO)=NO,0.2523
CCCC(C)=NO,0.256
COCC(C)=NO,0.2552
CC(=NO)C(C)=NO,0.1952
CC(=NO)C(N)=O,0.215
CC(C)C(C)=NO,0.2581
CC(O)C(C)=NO,0.255
CC1CC(C1)=NO,0.2496
CN1CC(C1)=NO,0.2255
ON=C1CC(O)C1,0.2488
ON=C(C#C)C#C,0.1816
CCC(=NO)C#C,0.2072
OCC(=NO)C#C,0.2056
CCC(CC)=NO,0.2545
CCC(CO)=NO,0.2553
CC1CCC1=NO,0.2499
CC1NCC1=NO,0.2331
CC1OCC1=NO,0.2454
ON=C1CCC1O,0.2483
ON=C1CC=CC1,0.2457
ON=C1CCC=C1,0.1929
ON=C1CNC=C1,0.1751
ON=C1CCCC1,0.2505
ON=C1CCOC1,0.2511
CC(=NO)C1CC1,0.2442
CC(=NO)C1CN1,0.2333
CC(=NO)C1CO1,0.2432
ON=C1CC2CC12,0.2464
ON=C1CC2NC12,0.2402
ON=C1CC2OC12,0.2485
ON=C1CN2CC12,0.2344
FC(F)(F)C#C,0.3188
FC(F)(F)C#N,0.3587
FC(F)(F)C=O,0.2243
NCC(F)(F)F,0.3268
OCC(F)(F)F,0.3488
CCC(F)(F)F,0.4465
CC1=CC(C)=CN1,0.2421
CC1=CC(C)=CO1,0.2359
CC1=CC(N)=CN1,0.2239
CC1=CC(N)=CO1,0.22
CC1=CC(O)=CN1,0.229
CC1=CC(O)=CO1,0.2243
CC1=CNC(N)=C1,0.2383
CC1=CNC(O)=C1,0.2458
CC1=CNC(O)=N1,0.2542
CC1=COC(N)=C1,0.2261
CC1=COC(N)=N1,0.2377
CC1=COC(O)=N1,0.2473
CC1=NC(C)=CN1,0.2457
CC1=NC(C)=CO1,0.2414
CC1=NC(N)=CO1,0.2145
CC1=NC(O)=CN1,0.2263
CC1=NC(O)=CO1,0.2221
NC1=CC(N)=CN1,0.225
NC1=CC(N)=CO1,0.2213
NC1=CC(O)=CN1,0.2293
NC1=CC(O)=CO1,0.2232
NC1=CNC(O)=C1,0.2342
NC1=CNC(O)=N1,0.2361
NC1=COC(O)=N1,0.2299
NC1=NC(N)=CO1,0.2236
NC1=NC(O)=CN1,0.2281
NC1=NC(O)=CO1,0.2288
OC1=CC(O)=CN1,0.2362
OC1=NC(O)=CN1,0.2431
CC1=CC=C(C)N1,0.2342
CC1=CC=C(C)O1,0.2289
CC1=CC=C(N)N1,0.2317
CC1=CC=C(N)O1,0.2186
CC1=CC=C(O)N1,0.2364
CC1=CN=C(C)O1,0.2372
CC1=CN=C(N)O1,0.2315
CC1=CN=C(O)N1,0.2474
CC1=CN=C(O)O1,0.2425
CC1=NC=C(N)O1,0.2217
CC1=NC=C(O)N1,0.2404
NC1=CC=C(N)N1,0.2327
NC1=CC=C(N)O1,0.2189
NC1=CC=C(O)N1,0.2395
NC1=CC=C(O)O1,0.227
NC1=CN=C(N)O1,0.232
NC1=CN=C(O)N1,0.2464
NC1=CN=C(O)O1,0.2432
OC1=CC=C(O)N1,0.2363
OC1=CN=C(O)N1,0.2479
CC1=CNC(=N)O1,0.2224
CC1=CNC(=O)N1,0.2337
CC1=CNC(=O)O1,0.2397
CC1=COC(=N)N1,0.2243
CC1=COC(=N)O1,0.2382
CC1=COC(=O)N1,0.2418
CC1=COC(=O)O1,0.2538
NC1=CNC(=N)O1,0.2263
NC1=CNC(=O)N1,0.2338
NC1=CNC(=O)O1,0.2378
NC1=COC(=N)O1,0.2379
NC1=COC(=O)N1,0.2427
NC1=COC(=O)O1,0.2512
OC1=CNC(=N)O1,0.2344
OC1=CNC(=O)N1,0.2345
OC1=CNC(=O)O1,0.2489
OC1=COC(=N)N1,0.2297
OC1=COC(=N)O1,0.2538
OC1=COC(=O)O1,0.2605
CN1C=CC(C)=C1,0.2455
CN1C=CC(N)=C1,0.2244
CN1C=CC(O)=C1,0.2317
CN1C=NC(C)=C1,0.249
CN1C=NC(N)=C1,0.2207
CN1C=NC(O)=C1,0.229
N=C1C=COC=N1,0.2096
N=C1N=CNC=N1,0.1937
N=C1N=COC=N1,0.2159
O=C1C=CNC=C1,0.2043
O=C1C=CNC=N1,0.2039
O=C1C=COC=C1,0.1998
O=C1C=COC=N1,0.2076
O=C1N=COC=N1,0.2136
N=C1NC=NC=N1,0.1774
N=C1OC=CC=C1,0.167
N=C1OC=CC=N1,0.1678
N=C1OC=CN=C1,0.164
N=C1OC=NC=C1,0.1815
N=C1OC=NC=N1,0.1854
O=C1NC=CC=C1,0.1783
O=C1NC=CC=N1,0.1806
O=C1NC=CN=C1,0.1713
O=C1NC=NC=C1,0.1966
O=C1NC=NC=N1,0.1996
O=C1OC=CC=C1,0.1788
O=C1OC=CC=N1,0.1844
