smiles,lumo
OC12CN(C1)C2,0.0682
O=C(C#C)C#C,-0.0898
O=C(C#C)C#N,-0.121
O=C(C#N)C#N,-0.1562
O=CC(=O)C#C,-0.1181
O=CC(=O)C#N,-0.1503
O=CC(=O)C=O,-0.1455
CC(C#C)C#C,0.034
CC(C#C)C#N,0.0116
CC(C#N)C#N,-0.0129
NC(C#C)C#N,-0.003
NC(C#N)C#N,-0.0279
OC(C#C)C#C,0.0039
OC(C#C)C#N,-0.0199
OC(C#N)C#N,-0.0464
CC(C=O)C#C,-0.0324
CC(C=O)C#N,-0.0545
OC(C=O)C#C,-0.0493
OC(C=O)C#N,-0.0733
CC(C=O)C=O,-0.0573
CN(C=N)C=O,-0.0171
CN(C=O)C=O,-0.0352
OC(C=O)C=O,-0.0663
CN=C(N)C#N,-0.0399
CN=C(N)C=O,-0.0605
CCC(=O)C#C,-0.0552
CCC(=O)C#N,-0.0854
CNC(=N)C#N,-0.0407
CNC(=O)C#C,-0.0243
COC(=O)C#C,-0.0424
COC(=O)C#N,-0.0717
OCC(=O)C#C,-0.0573
OCC(=O)C#N,-0.0881
CCC(=O)C=O,-0.0944
CNC(=N)C=O,-0.0681
CNC(=O)C=O,-0.0726
COC(=O)C=O,-0.0862
OCC(=O)C=O,-0.0953
CCC(=O)CC,-0.0057
CCC(=O)CO,-0.0073
CCC(=O)NC,0.0378
CCC(=O)OC,0.0192
CNC(=O)CO,0.0274
CNC(=O)NC,0.067
CNC(=O)OC,0.0662
COC(=O)CN,0.015
COC(=O)CO,0.0032
OCC(=O)CO,-0.01
COC(C)=NC,0.0334
CC(CO)C#C,0.0553
CC(CO)C#N,0.035
CCC(C)C#C,0.0581
CCC(C)C#N,0.0383
CCC(N)C#N,0.0286
CCC(O)C#C,0.0332
CCC(O)C#N,0.0117
CNC(C)C#N,0.0288
COC(C)C#C,0.0395
COC(C)C#N,0.0177
NC(CO)C#N,0.0215
NCC(N)C#N,0.0266
NCC(O)C#N,0.0078
OCC(O)C#C,0.0188
OCC(O)C#N,-0.0038
CC(CO)C=O,-0.0219
CCC(C)C=O,-0.0181
CCC(O)C=O,-0.0372
CCN(C)C=O,0.0328
COC(C)C=O,-0.0276
OCC(O)C=O,-0.0476
CC(CO)CO,0.0735
CCC(C)CC,0.0843
CCC(C)CO,0.0783
CCC(C)OC,0.0861
CCC(O)CC,0.0721
CCC(O)CO,0.0618
COC(C)CO,0.079
OCC(O)CO,0.049
CC1(CC1)C#C,0.0571
CC1(CC1)C#N,0.037
CC1(CN1)C#C,0.0441
CC1(CN1)C#N,0.0226
CC1(CO1)C#C,0.0263
CC1(CO1)C#N,0.0031
NC1(CC1)C#N,0.029
OC1(CC1)C#C,0.035
OC1(CC1)C#N,0.0136
CC1(CC1)C=O,-0.0141
CC1(CN1)C=O,-0.0234
CC1(CO1)C=O,-0.0374
OC1(CC1)C=O,-0.0315
CC1(CO)CC1,0.0757
CC1(CO)CN1,0.0724
CC1(CO)CO1,0.081
CCC1(C)CC1,0.0859
CCC1(C)CO1,0.0877
CCC1(O)CC1,0.0723
COC1(C)CC1,0.0897
OCC1(O)CC1,0.0639
CC1CCC1=O,-0.0163
CC1CNC1=O,0.0373
CC1COC1=N,0.0284
CC1COC1=O,0.0099
CC1NCC1=O,-0.0238
CC1OCC1=O,-0.0323
CN1CCC1=O,0.0394
NC1COC1=N,0.0196
NC1COC1=O,0.0012
OC1CCC1=O,-0.0284
OC1CNC1=O,0.0204
OC1COC1=N,0.0123
OC1COC1=O,-0.0058
CC1CCC1C,0.0842
CC1CCC1O,0.0751
CC1COC1C,0.085
CC1OCC1O,0.0626
OC1CCC1O,0.0591
N=C1CN=CN1,-0.0049
O=C1CC=CC1,-0.0164
O=C1CC=CN1,-0.0013
O=C1CN=CN1,-0.0182
O=C1CN=CO1,-0.0315
N=C1OCC=C1,-0.0302
O=C1CCC=C1,-0.0429
O=C1NCC=C1,-0.0263
N=C1CCCO1,0.0316
N=C1COCO1,0.0187
N=C1OCCO1,0.0548
O=C1CCCC1,-0.0124
O=C1CCCN1,0.0377
O=C1CCCO1,0.0149
O=C1CCOC1,-0.0253
O=C1COCO1,-0.0003
O=C1NCCN1,0.0629
O=C1NCCO1,0.052
O=C1OCCO1,0.0401
CC1=CCCC1,0.037
CC1=CCOC1,0.0249
CC1=NCCO1,0.0319
CC1CC=CC1,0.0313
CC1CN=CO1,0.0261
OC1CC=CC1,0.0209
CC1CCC=C1,0.03
CC1COC=N1,0.0239
CC1OCC=C1,0.0182
OC1CCC=C1,0.0142
CC1CCCC1,0.0828
CC1CCCO1,0.0868
CC1CCOC1,0.0839
CC1COCO1,0.0904
CC1OCCO1,0.0896
OC1CCCC1,0.0738
OC1CCOC1,0.0712
CC1C(C)C1C,0.0841
CC1C(C)C1O,0.0725
CC1C(C)N1C,0.0826
CC1C(O)C1O,0.0537
OC1C(O)C1O,0.0505
CC12CC1CC2,0.0951
CC12CC1CO2,0.0868
CC12CC1OC2,0.0805
CC12CCC1O2,0.0955
OC12CC1CC2,0.0834
OC12CC1OC2,0.0706
C#CC#CC#C,-0.0565
C#CC#CC#N,-0.085
N#CC#CC#N,-0.1164
C#CCCC#C,0.0391
C#CCCC#N,0.0193
N#CCCC#N,-0.0013
O=CC#CC#C,-0.0922
O=CC#CC#N,-0.1211
O=CC#CC=O,-0.0927
N=COCC#C,0.0135
N=COCC#N,-0.0071
O=CCCC#C,-0.0302
O=CCCC#N,-0.0464
O=CNCC#C,0.0191
O=CNCC#N,-0.0017
O=COCC#C,-0.0051
O=COCC#N,-0.0259
N=COCC=O,-0.0461
O=CCCC=O,-0.0386
O=CCNC=O,-0.0377
O=CCOC=O,-0.0513
CC#CC#CC,0.0026
CC#CCC#C,0.0422
CC#CCC#N,0.0206
CC#CCC=O,-0.0269
CN=CNC=O,-0.0172
CN=COC=O,-0.0239
CCC#CC#C,-0.0092
CCC#CC#N,-0.0374
OCC#CC#C,-0.024
OCC#CC#N,-0.0526
CCC#CC=O,-0.0579
OCC#CC=O,-0.0625
CCC#CCC,0.0588
CCC#CCO,0.0372
OCC#CCO,0.0292
CCN=COC,0.0282
CC#CCCO,0.0619
CCCC#CC,0.0646
COCC#CC,0.0413
CCOC=NC,0.0272
CCCCC#C,0.0587
CCCCC#N,0.0376
CCNCC#N,0.023
CCOCC#C,0.0346
CCOCC#N,0.0109
COCCC#C,0.0547
COCCC#N,0.0324
OCCCC#C,0.0564
OCCCC#N,0.0354
CCCCC=O,-0.0188
CCCNC=O,0.034
CCCOC=O,0.0095
CCOCC=O,-0.027
COCCC=O,-0.0258
OCCCC=O,-0.0209
OCCNC=O,0.0352
OCCOC=N,0.0147
OCCOC=O,0.0033
CCCCCC,0.0917
CCCCCO,0.0813
CCCCOC,0.0912
CCCOCC,0.0928
CCOCCO,0.0832
COCCCO,0.078
COCCOC,0.0848
OCCCCO,0.0773
C#CC1CCC1,0.0501
C#CC1CCO1,0.0206
C#CC1COC1,0.0374
N#CC1CCC1,0.0282
N#CC1CCN1,0.0144
N#CC1CCO1,-0.0024
N#CC1COC1,0.0136
O=CC1CCC1,-0.023
O=CC1CCO1,-0.0357
O=CC1COC1,-0.0341
O=CN1CCC1,0.0265
CN=C1CCO1,0.0325
CCC1CCC1,0.0897
CCC1CCO1,0.087
CCC1COC1,0.0778
COC1CCC1,0.0871
COC1COC1,0.0697
OCC1CCC1,0.0775
OCC1CCO1,0.0698
OCC1COC1,0.0686
C#CCC1CC1,0.0556
C#CCC1CO1,0.0484
C#CCN1CC1,0.0381
N#CCC1CC1,0.0346
N#CCC1CN1,0.0237
N#CCC1CO1,0.0256
N#CCN1CC1,0.0199
N=COC1CC1,0.0211
O=CCC1CC1,-0.0201
O=CCC1CN1,-0.0268
O=CCC1CO1,-0.0285
O=CCN1CC1,-0.0251
O=CNC1CC1,0.0288
O=COC1CC1,0.0022
CC#CC1CC1,0.0572
CC#CC1CN1,0.0408
CC#CC1CO1,0.0288
CCCC1CC1,0.0954
CCCC1CO1,0.0961
CCCN1CC1,0.0931
CCOC1CC1,0.0952
COCC1CC1,0.0923
COCC1CN1,0.0781
COCC1CO1,0.0832
OCCC1CC1,0.0807
OCCC1CO1,0.0771
OCCN1CC1,0.0883
CC1CC1C#C,0.0508
CC1CC1C#N,0.0307
CC1NC1C#C,0.0378
CC1NC1C#N,0.016
CC1OC1C#C,0.0209
CC1OC1C#N,-0.0034
CN1CC1C#C,0.0338
CN1CC1C#N,0.0112
OC1CC1C#C,0.0359
OC1CC1C#N,0.0249
CC1CC1C=O,-0.0158
CC1CN1C=O,0.0039
CC1NC1C=O,-0.0262
CC1OC1C=O,-0.0431
CN1CC1C=O,-0.0384
OC1CC1C=O,-0.0148
CC1CC1CO,0.0794
CC1NC1CO,0.072
CC1OC1CO,0.0801
CCC1CC1C,0.094
CCC1CC1O,0.0822
CCC1CN1C,0.0865
CCC1OC1C,0.0971
CCN1CC1C,0.0929
CN1CC1CO,0.0695
COC1CC1C,0.093
COC1CC1O,0.0739
OCC1CC1O,0.079
CC(=O)C1CC1,-0.0086
CC(=O)C1CN1,-0.0237
CC(=O)C1CO1,-0.027
CC(=O)N1CC1,0.0075
NC(=O)C1CC1,0.033
NC(=O)C1CN1,0.0176
NC(=O)C1CO1,0.012
NC(=O)N1CC1,0.0373
CC(C)C1CC1,0.0939
CC(C)C1CO1,0.0883
CC(C)N1CC1,0.0898
CC(O)C1CC1,0.0791
CC(O)C1CN1,0.0627
CC(O)C1CO1,0.0859
C1CC11CCC1,0.0944
C1CC11CCO1,0.0811
C1CC11COC1,0.0696
C1NC11COC1,0.0588
C1OC11CCC1,0.0764
C1OC11COC1,0.0656
C1C2CC1C=C2,0.0181
C1C2OC1C=C2,0.0008
C1C2CC1CC2,0.0922
C1C2CC1OC2,0.0984
C1C2CCC1O2,0.0923
CC1C2CC1C2,0.1047
CC1C2CC1O2,0.0894
OC1C2CC1C2,0.0751
OC1C2CC1O2,0.0631
C1CC=CCO1,0.0243
C1CCC=CC1,0.0337
C1COC=NC1,0.0278
C1CCCCC1,0.087
C1CCOCC1,0.0894
C1COCCO1,0.0954
C1COCOC1,0.0912
C1CC2CCC12,0.0842
C1CC2OCC12,0.0766
C1OC2COC12,0.0584
CC1C2CCC12,0.0932
CC1C2COC12,0.0823
OC1C2CCC12,0.0769
OC1C2COC12,0.0597
C1C2CC=CC12,0.0251
C1C2OC=NC12,0.015
C1C=CC2NC12,0.0171
C1C=CC2OC12,0.0022
C1C2CCCC12,0.0913
C1C2CCOC12,0.0914
C1C2COCC12,0.0925
C1C2OCOC12,0.0896
C1CC2OC2C1,0.0972
C1OCC2NC12,0.0757
C1OCC2OC12,0.0964
N=C1OC2CC12,0.0182
O=C1CC2CC12,-0.0079
O=C1CC2CN12,-0.0123
O=C1CC2NC12,-0.0181
O=C1CC2OC12,-0.031
O=C1CN2CC12,-0.0245
O=C1NC2CC12,0.0085
O=C1OC2CC12,-0.0009
CC1CC2CC12,0.0931
CC1CC2OC12,0.0893
CC1OC2CC12,0.0887
OC1CC2CC12,0.0768
OC1CC2NC12,0.0756
OC1CC2OC12,0.0773
OC1CN2CC12,0.0621
C1C2C3CC2C13,0.1064
C1C2C3CN2C13,0.0946
C1C2C3OC2C13,0.0778
N1C2C3NC2C13,0.0625
N1C2C3OC2C13,0.0534
O1C2C3OC2C13,0.0447
C1CC1C1CC1,0.0925
C1CC1C1CO1,0.0938
C1CC1N1CC1,0.0925
C1NC1C1CN1,0.0704
C1NC1C1CO1,0.0746
C1OC1C1CO1,0.0726
C1C2C1C1CC21,0.0868
C1C2C1C1NC21,0.0799
C1C2C1C1OC21,0.0634
C1C2C1N1CC21,0.0711
N1C2C1C1NC21,0.0708
N1C2C1C1OC21,0.0552
O1C2C1C1OC21,0.0396
C1C2C3C1CN23,0.0934
C1C2C3CC1C23,0.1074
C1C2C3CC1N23,0.0905
C1C2C3CN1C23,0.0883
C1C2C3OC1C23,0.084
C12C3C1C1C2C31,0.085
C12C3C1N1C2C31,0.0669
C1=CN=NC=C1,-0.0503
C1=CN=NN=C1,-0.0696
C1=NN=CN=N1,-0.1121
C1=NN=NC=N1,-0.1005
C1=NN=NN=C1,-0.0979
CC1=CC=NN1,0.026
CC1=CC=NO1,-0.0071
CC1=CN=NN1,0.0018
CC1=CN=NO1,-0.0356
CC1=CNN=C1,0.028
CC1=CNN=N1,0.0027
CC1=CON=C1,-0.008
CC1=CON=N1,-0.0371
CC1=NC=NN1,0.011
CC1=NC=NO1,-0.0235
CC1=NNC=C1,0.0296
CC1=NNC=N1,0.0134
CC1=NNN=C1,0.0012
CC1=NNN=N1,-0.0242
CC1=NOC=C1,-0.0052
CC1=NOC=N1,-0.0228
CC1=NON=C1,-0.0417
CC1=NON=N1,-0.0698
CN1C=CC=N1,0.0247
CN1C=CN=N1,0.0014
CN1C=NC=N1,0.0091
CN1C=NN=C1,0.0168
CN1C=NN=N1,-0.0149
CN1N=CC=N1,-0.0011
CN1N=CN=N1,-0.0245
CN1N=NN=N1,-0.0474
N=C1NC=NO1,-0.0026
N=C1NN=NN1,-0.0198
N=C1OC=NO1,-0.0221
N=C1ON=NO1,-0.0759
NC1=CC=NN1,0.038
NC1=CC=NO1,0.0127
NC1=CN=NN1,0.0126
NC1=CN=NO1,-0.0171
NC1=CNN=C1,0.0301
NC1=CNN=N1,0.0044
NC1=CON=C1,-0.0048
NC1=CON=N1,-0.0346
NC1=NC=NN1,0.0283
NC1=NC=NO1,0.0015
NC1=NNC=C1,0.0347
NC1=NNC=N1,0.0189
NC1=NNN=C1,0.006
NC1=NNN=N1,-0.0191
NC1=NOC=C1,0.0029
NC1=NOC=N1,-0.0138
NC1=NON=C1,-0.0343
NC1=NON=N1,-0.0625
O=C1NC=NN1,0.0138
O=C1NC=NO1,-0.0128
O=C1NN=NN1,-0.0285
O=C1NN=NO1,-0.059
O=C1OC=NO1,-0.0327
O=C1ON=NO1,-0.088
OC1=CC=NN1,0.0394
OC1=CNN=C1,0.0237
OC1=CNN=N1,-0.0042
OC1=NC=NN1,0.025
OC1=NNC=C1,0.0271
OC1=NNC=N1,0.0082
OC1=NNN=C1,-0.0028
OC1=NNN=N1,-0.0312
OC1=NOC=C1,-0.0063
OC1=NOC=N1,-0.0275
OC1=NON=N1,-0.0778
CC#CC(C)=NO,-0.0214
CC(CC#C)=NO,0.0065
CC(CC#N)=NO,-0.0126
CC(CC=O)=NO,-0.0382
CC(CCO)=NO,0.0103
CCCC(C)=NO,0.0178
COCC(C)=NO,0.0055
CC(=NO)C(C)=NO,-0.0326
CC(=NO)C(N)=O,-0.0387
CC(C)C(C)=NO,0.0188
CC(O)C(C)=NO,0.0114
CC1CC(C1)=NO,0.0102
CN1CC(C1)=NO,0.0053
ON=C1CC(O)C1,0.0067
ON=C(C#C)C#C,-0.0602
CCC(=NO)C#C,-0.031
OCC(=NO)C#C,-0.0314
CCC(CC)=NO,0.0153
CCC(CO)=NO,0.0051
CC1CCC1=NO,0.0099
CC1NCC1=NO,0.004
CC1OCC1=NO,-0.0022
ON=C1CCC1O,-0.002
ON=C1CC=CC1,0.011
ON=C1CCC=C1,-0.0249
ON=C1CNC=C1,-0.0122
ON=C1CCCC1,0.0136
ON=C1CCOC1,0.0026
CC(=NO)C1CC1,0.0138
CC(=NO)C1CN1,0.0017
CC(=NO)C1CO1,-0.0027
ON=C1CC2CC12,0.0164
ON=C1CC2NC12,0.0083
ON=C1CC2OC12,-0.0028
ON=C1CN2CC12,0.002
FC(F)(F)C#C,0.0022
FC(F)(F)C#N,-0.0244
FC(F)(F)C=O,-0.0714
NCC(F)(F)F,0.0697
OCC(F)(F)F,0.0532
CCC(F)(F)F,0.0922
CC1=CC(C)=CN1,0.0527
CC1=CC(C)=CO1,0.0287
CC1=CC(N)=CN1,0.0552
CC1=CC(N)=CO1,0.0328
CC1=CC(O)=CN1,0.0498
CC1=CC(O)=CO1,0.0258
CC1=CNC(N)=C1,0.0592
CC1=CNC(O)=C1,0.0676
CC1=CNC(O)=N1,0.0562
CC1=COC(N)=C1,0.045
CC1=COC(N)=N1,0.0352
CC1=COC(O)=N1,0.0268
CC1=NC(C)=CN1,0.0397
CC1=NC(C)=CO1,0.014
CC1=NC(N)=CO1,0.0174
CC1=NC(O)=CN1,0.0343
CC1=NC(O)=CO1,0.0085
NC1=CC(N)=CN1,0.0612
NC1=CC(N)=CO1,0.0513
NC1=CC(O)=CN1,0.0553
NC1=CC(O)=CO1,0.0453
NC1=CNC(O)=C1,0.0709
NC1=CNC(O)=N1,0.0622
NC1=COC(O)=N1,0.0349
NC1=NC(N)=CO1,0.0417
NC1=NC(O)=CN1,0.0495
NC1=NC(O)=CO1,0.0344
OC1=CC(O)=CN1,0.0648
OC1=NC(O)=CN1,0.0565
CC1=CC=C(C)N1,0.0493
CC1=CC=C(C)O1,0.0273
CC1=CC=C(N)N1,0.0551
CC1=CC=C(N)O1,0.0421
CC1=CC=C(O)N1,0.0626
CC1=CN=C(C)O1,0.0129
CC1=CN=C(N)O1,0.0322
CC1=CN=C(O)N1,0.0513
CC1=CN=C(O)O1,0.0262
CC1=NC=C(N)O1,0.0257
CC1=NC=C(O)N1,0.0472
NC1=CC=C(N)N1,0.0618
NC1=CC=C(N)O1,0.0406
NC1=CC=C(O)N1,0.0646
NC1=CC=C(O)O1,0.0354
NC1=CN=C(N)O1,0.0306
NC1=CN=C(O)N1,0.055
NC1=CN=C(O)O1,0.0241
OC1=CC=C(O)N1,0.0726
OC1=CN=C(O)N1,0.0621
CC1=CNC(=N)O1,0.0349
CC1=CNC(=O)N1,0.0448
CC1=CNC(=O)O1,0.0277
CC1=COC(=N)N1,0.035
CC1=COC(=N)O1,0.0207
CC1=COC(=O)N1,0.0278
CC1=COC(=O)O1,0.0124
NC1=CNC(=N)O1,0.0503
NC1=CNC(=O)N1,0.0543
NC1=CNC(=O)O1,0.0466
NC1=COC(=N)O1,0.0181
NC1=COC(=O)N1,0.0398
NC1=COC(=O)O1,0.0334
OC1=CNC(=N)O1,0.0486
OC1=CNC(=O)N1,0.0512
OC1=CNC(=O)O1,0.0458
OC1=COC(=N)N1,0.0426
OC1=COC(=N)O1,0.0416
OC1=COC(=O)O1,0.0286
CN1C=CC(C)=C1,0.0494
CN1C=CC(N)=C1,0.0525
CN1C=CC(O)=C1,0.0475
CN1C=NC(C)=C1,0.0367
CN1C=NC(N)=C1,0.0386
CN1C=NC(O)=C1,0.0318
N=C1C=COC=N1,-0.0317
N=C1N=CNC=N1,-0.0391
N=C1N=COC=N1,-0.0496
O=C1C=CNC=C1,-0.0104
