smiles,homo
NC(=O)CO,-0.246
[NH3+]CC([O-])=O,-0.2527
CC(C)CO,-0.2629
CC(O)CO,-0.2597
CCC(C)C,-0.3085
CCC(C)O,-0.2617
COC(C)C,-0.2476
CC1(C)CC1,-0.2633
CC1(C)CO1,-0.2596
CC1(O)CC1,-0.2494
N=C1CCO1,-0.263
O=C1CCC1,-0.2415
O=C1CCN1,-0.25
O=C1CCO1,-0.2788
O=C1CNC1,-0.2437
O=C1COC1,-0.2647
CC1CCC1,-0.2896
CC1CCO1,-0.241
CC1COC1,-0.2419
OC1CCC1,-0.256
OC1COC1,-0.2465
CC1CC1C,-0.2632
CC1CC1O,-0.2518
CC1CN1C,-0.2199
CC1OC1C,-0.2573
OC1CC1O,-0.2369
C1C2CC1C2,-0.2974
C1C2CC1O2,-0.2352
C#CCC#C,-0.2633
C#CCC#N,-0.2911
N#CCC#N,-0.3494
O=CCC#C,-0.2583
O=CCC#N,-0.2868
N=CNC=O,-0.2491
N=COC=O,-0.2934
O=CNC=O,-0.2608
CC#CC#C,-0.242
CC#CC#N,-0.2871
CC#CC=O,-0.2642
CC#CCO,-0.2421
CCC#CC,-0.2401
COC=NC,-0.2481
CCCC#C,-0.2586
CCCC#N,-0.3185
CNCC#N,-0.249
COCC#C,-0.2565
COCC#N,-0.2859
OCCC#C,-0.2624
OCCC#N,-0.2914
CCCC=O,-0.2487
CCNC=O,-0.2499
CCOC=O,-0.2778
COCC=O,-0.2577
OCCC=O,-0.2536
CCCCC,-0.3105
CCCCO,-0.2615
CCCOC,-0.25
CCOCC,-0.2483
COCCO,-0.261
OCCCO,-0.2607
C#CC1CC1,-0.2425
C#CC1CN1,-0.2422
C#CC1CO1,-0.265
N#CC1CC1,-0.2931
N#CC1CN1,-0.2775
N#CC1CO1,-0.3077
O=CC1CC1,-0.2486
O=CC1CN1,-0.2639
O=CC1CO1,-0.2636
O=CN1CC1,-0.2555
CCC1CC1,-0.2723
CCC1CO1,-0.2623
CCN1CC1,-0.2299
COC1CC1,-0.244
OCC1CC1,-0.2601
OCC1CN1,-0.2436
OCC1CO1,-0.2641
C1CC=CC1,-0.2335
C1CN=CO1,-0.2479
C1OCC=C1,-0.2303
C1CCCC1,-0.3078
C1CCOC1,-0.2479
C1COCO1,-0.2572
C1C2CCC12,-0.2519
C1C2COC12,-0.2337
C1CC2OC12,-0.2517
N1C=CC=N1,-0.2438
N1C=CN=N1,-0.2641
N1C=NC=N1,-0.2705
N1C=NN=C1,-0.2551
N1N=CC=N1,-0.2742
O1C=CC=N1,-0.2677
O1C=CN=N1,-0.2862
O1C=NC=N1,-0.3054
O1C=NN=C1,-0.2889
O1C=NN=N1,-0.331
O1N=CC=N1,-0.3213
O1N=CN=N1,-0.3379
O1N=NN=N1,-0.3671
CC(=NO)C#C,-0.2383
CC(CO)=NO,-0.2502
CCC(C)=NO,-0.239
ON=C1CCC1,-0.2405
ON=C1CNC1,-0.23
ON=C1COC1,-0.2498
FC(F)(F)F,-0.4286
N=C1NC=CO1,-0.1947
N=C1OC=CO1,-0.2262
O=C1NC=CN1,-0.1951
O=C1NC=CO1,-0.2215
O=C1OC=CO1,-0.253
CC1=CC=CN1,-0.1934
CC1=CC=CO1,-0.2124
CC1=CN=CO1,-0.2364
CC1=NC=CO1,-0.2371
NC1=CC=CN1,-0.185
NC1=CC=CO1,-0.1844
NC1=CN=CO1,-0.2049
NC1=NC=CO1,-0.2088
OC1=CC=CN1,-0.1814
OC1=CN=CN1,-0.2022
OC1=NC=CN1,-0.2051
CC1=CNC=C1,-0.1982
CC1=CNC=N1,-0.2157
CC1=COC=C1,-0.2183
CC1=COC=N1,-0.2395
NC1=CNC=C1,-0.1741
NC1=CNC=N1,-0.1849
NC1=COC=C1,-0.1947
NC1=COC=N1,-0.2057
OC1=CNC=C1,-0.1864
OC1=CNC=N1,-0.2006
OC1=COC=N1,-0.2242
CN1C=CC=C1,-0.2006
CN1C=CN=C1,-0.2216
C1=CC=CC=C1,-0.2475
C1=CC=NC=C1,-0.2518
C1=CN=CC=N1,-0.2493
C1=CN=CN=C1,-0.2531
C1=NC=NC=N1,-0.2768
CC(C)(C)C#C,-0.2585
CC(C)(C)C#N,-0.3156
CC(C)(N)C#N,-0.2675
CC(C)(O)C#C,-0.2589
CC(C)(O)C#N,-0.2931
CC(C)(C)C=O,-0.247
CC(C)(O)C=O,-0.2523
CC(C)(C)CO,-0.2638
CC(C)(O)CO,-0.2619
CCC(C)(C)C,-0.3031
CCC(C)(C)O,-0.2601
COC(C)(C)C,-0.2455
CC#CC(C)=O,-0.2532
CC#CC(N)=O,-0.2502
CC#CC(C)C,-0.2404
CC#CC(C)O,-0.2492
CC(=O)CC#C,-0.246
CC(=O)CC#N,-0.274
NC(=O)CC#C,-0.2498
NC(=O)CC#N,-0.2741
CC(=N)NC=O,-0.2611
CC(=N)OC=O,-0.2723
CC(=O)CC=O,-0.2505
CC(=O)NC=N,-0.2397
CC(=O)NC=O,-0.2511
CC(=O)OC=N,-0.2768
NC(=N)NC=O,-0.2336
NC(=O)CC=O,-0.2502
NC(=O)NC=N,-0.2443
NC(=O)NC=O,-0.2548
NC(=O)OC=N,-0.2743
CC(C)CC#C,-0.259
CC(C)CC#N,-0.3161
CC(O)CC#C,-0.2622
CC(O)CC#N,-0.2866
CN(C)CC#N,-0.2371
CC(C)CC=O,-0.2481
CC(C)NC=O,-0.2484
CC(C)OC=O,-0.2748
CC(O)CC=O,-0.2437
CN(C)CC=O,-0.2267
CC(=O)CCO,-0.2458
CCCC(C)=O,-0.2415
CCCC(N)=O,-0.243
CCNC(C)=O,-0.2402
CCNC(N)=O,-0.2427
CCOC(C)=O,-0.2654
CCOC(N)=O,-0.2644
C[NH2+]CC([O-])=O,-0.2494
COCC(C)=O,-0.2449
COCC(N)=O,-0.2464
NC(=O)CCO,-0.2471
[NH3+]CCC([O-])=O,-0.167
CC(C)CCO,-0.2613
CC(O)CCO,-0.2583
CCCC(C)C,-0.3042
CCCC(C)O,-0.2613
CCOC(C)C,-0.2458
COCC(C)C,-0.2508
COCC(C)O,-0.2581
CC(=O)C(C)=O,-0.2408
CC(=O)C(N)=N,-0.2483
CC(=O)C(N)=O,-0.2416
NC(=[NH2+])C([O-])=O,-0.2349
NC(=O)C(N)=O,-0.2422
CC(C)C(C)=O,-0.2389
CC(C)C(N)=O,-0.2409
CC([NH3+])C([O-])=O,-0.251
CC(O)C(C)=O,-0.263
CC(O)C(N)=O,-0.26
CN(C)C(C)=O,-0.2342
CN(C)C(N)=O,-0.2306
CC(C)C(C)C,-0.3016
CC(C)C(C)O,-0.2613
CC(O)C(C)O,-0.2564
CC1(C)CCC1,-0.2837
CC1(C)CCO1,-0.2392
CC1(C)COC1,-0.2425
CC1(O)CCC1,-0.2526
CC1(O)COC1,-0.246
CC1(C)CC1O,-0.2497
CC1(O)CC1O,-0.2427
CC1CC1(C)C,-0.2558
CC1CC1(C)O,-0.2458
CC1OC1(C)C,-0.2545
CN1CC1(C)C,-0.219
CC1CC(=N)O1,-0.2598
CC1CC(=O)C1,-0.2394
CC1CC(=O)N1,-0.2465
CC1CC(=O)O1,-0.2737
CN1CC(=O)C1,-0.2304
OC1CC(=O)C1,-0.242
CC1CC(C)C1,-0.2832
CC1CC(C)O1,-0.2399
CC1CC(O)C1,-0.253
CN1CC(O)C1,-0.2196
OC1CC(O)C1,-0.2525
CC12CC(C1)C2,-0.2934
CC12CC(C1)O2,-0.2307
CC12CN(C1)C2,-0.2257
OC12CC(C1)C2,-0.2587
OC12CN(C1)C2,-0.2445
O=C(C#C)C#C,-0.28
O=C(C#C)C#N,-0.3156
O=C(C#N)C#N,-0.3538
O=CC(=O)C#C,-0.2672
O=CC(=O)C#N,-0.2978
O=CC(=O)C=O,-0.2606
CC(C#C)C#C,-0.2622
CC(C#C)C#N,-0.2879
CC(C#N)C#N,-0.3433
NC(C#C)C#N,-0.2798
NC(C#N)C#N,-0.3037
OC(C#C)C#C,-0.2708
OC(C#C)C#N,-0.3019
OC(C#N)C#N,-0.3463
CC(C=O)C#C,-0.2536
CC(C=O)C#N,-0.2801
OC(C=O)C#C,-0.2709
OC(C=O)C#N,-0.3073
CC(C=O)C=O,-0.2559
CN(C=N)C=O,-0.2595
CN(C=O)C=O,-0.2725
OC(C=O)C=O,-0.2649
CN=C(N)C#N,-0.2622
CN=C(N)C=O,-0.2476
CCC(=O)C#C,-0.264
CCC(=O)C#N,-0.2976
CNC(=N)C#N,-0.2527
CNC(=O)C#C,-0.2591
COC(=O)C#C,-0.2806
COC(=O)C#N,-0.3197
OCC(=O)C#C,-0.2661
OCC(=O)C#N,-0.3004
CCC(=O)C=O,-0.2515
CNC(=N)C=O,-0.2388
CNC(=O)C=O,-0.2505
COC(=O)C=O,-0.2683
OCC(=O)C=O,-0.2516
CCC(=O)CC,-0.2412
CCC(=O)CO,-0.2429
CCC(=O)NC,-0.2422
CCC(=O)OC,-0.268
CNC(=O)CO,-0.2433
CNC(=O)NC,-0.2383
CNC(=O)OC,-0.2496
COC(=O)CN,-0.2466
COC(=O)CO,-0.2705
OCC(=O)CO,-0.2447
COC(C)=NC,-0.2427
CC(CO)C#C,-0.2613
CC(CO)C#N,-0.2896
CCC(C)C#C,-0.2575
CCC(C)C#N,-0.3144
CCC(N)C#N,-0.2695
CCC(O)C#C,-0.2649
CCC(O)C#N,-0.3028
CNC(C)C#N,-0.2424
COC(C)C#C,-0.2538
COC(C)C#N,-0.2865
NC(CO)C#N,-0.2619
NCC(N)C#N,-0.2534
NCC(O)C#N,-0.2549
OCC(O)C#C,-0.2624
OCC(O)C#N,-0.2878
CC(CO)C=O,-0.2523
CCC(C)C=O,-0.2451
CCC(O)C=O,-0.2736
CCN(C)C=O,-0.2407
COC(C)C=O,-0.2545
OCC(O)C=O,-0.2662
CC(CO)CO,-0.2607
CCC(C)CC,-0.303
CCC(C)CO,-0.2625
CCC(C)OC,-0.248
CCC(O)CC,-0.2621
CCC(O)CO,-0.256
COC(C)CO,-0.2545
OCC(O)CO,-0.2606
CC1(CC1)C#C,-0.24
CC1(CC1)C#N,-0.2853
CC1(CN1)C#C,-0.2444
CC1(CN1)C#N,-0.2743
CC1(CO1)C#C,-0.2616
CC1(CO1)C#N,-0.3007
NC1(CC1)C#N,-0.2722
OC1(CC1)C#C,-0.2424
OC1(CC1)C#N,-0.2828
CC1(CC1)C=O,-0.2482
CC1(CN1)C=O,-0.2483
CC1(CO1)C=O,-0.2592
OC1(CC1)C=O,-0.2519
CC1(CO)CC1,-0.2616
CC1(CO)CN1,-0.2463
CC1(CO)CO1,-0.2611
CCC1(C)CC1,-0.2627
CCC1(C)CO1,-0.2587
CCC1(O)CC1,-0.2519
COC1(C)CC1,-0.245
OCC1(O)CC1,-0.2421
CC1CCC1=O,-0.2374
CC1CNC1=O,-0.2452
CC1COC1=N,-0.2615
CC1COC1=O,-0.2726
CC1NCC1=O,-0.2421
CC1OCC1=O,-0.2575
CN1CCC1=O,-0.2414
NC1COC1=N,-0.2491
NC1COC1=O,-0.2481
OC1CCC1=O,-0.2509
OC1CNC1=O,-0.2475
OC1COC1=N,-0.2717
OC1COC1=O,-0.2674
CC1CCC1C,-0.2822
CC1CCC1O,-0.2522
CC1COC1C,-0.2398
CC1OCC1O,-0.2442
OC1CCC1O,-0.2476
N=C1CN=CN1,-0.2323
O=C1CC=CC1,-0.2409
O=C1CC=CN1,-0.2165
O=C1CN=CN1,-0.25
O=C1CN=CO1,-0.2793
N=C1OCC=C1,-0.2462
O=C1CCC=C1,-0.2366
O=C1NCC=C1,-0.2428
N=C1CCCO1,-0.2549
N=C1COCO1,-0.272
N=C1OCCO1,-0.2556
O=C1CCCC1,-0.235
O=C1CCCN1,-0.237
O=C1CCCO1,-0.2646
O=C1CCOC1,-0.2439
O=C1COCO1,-0.2775
O=C1NCCN1,-0.2457
O=C1NCCO1,-0.2632
O=C1OCCO1,-0.2935
CC1=CCCC1,-0.2238
CC1=CCOC1,-0.2252
CC1=NCCO1,-0.2399
CC1CC=CC1,-0.2335
CC1CN=CO1,-0.246
OC1CC=CC1,-0.2461
CC1CCC=C1,-0.2341
CC1COC=N1,-0.2473
CC1OCC=C1,-0.2302
OC1CCC=C1,-0.2491
CC1CCCC1,-0.3044
CC1CCCO1,-0.2379
CC1CCOC1,-0.2381
CC1COCO1,-0.2502
CC1OCCO1,-0.2542
OC1CCCC1,-0.2601
OC1CCOC1,-0.2428
CC1C(C)C1C,-0.2571
CC1C(C)C1O,-0.2441
CC1C(C)N1C,-0.2104
CC1C(O)C1O,-0.2301
OC1C(O)C1O,-0.2552
CC12CC1CC2,-0.243
CC12CC1CO2,-0.2287
CC12CC1OC2,-0.2293
CC12CCC1O2,-0.2442
OC12CC1CC2,-0.2475
OC12CC1OC2,-0.2318
C#CC#CC#C,-0.2465
C#CC#CC#N,-0.284
N#CC#CC#N,-0.3277
C#CCCC#C,-0.2615
C#CCCC#N,-0.2821
N#CCCC#N,-0.3397
O=CC#CC#C,-0.275
O=CC#CC#N,-0.3053
O=CC#CC=O,-0.2894
N=COCC#C,-0.2698
N=COCC#N,-0.2899
O=CCCC#C,-0.2549
O=CCCC#N,-0.274
O=CNCC#C,-0.2561
O=CNCC#N,-0.2788
O=COCC#C,-0.2819
O=COCC#N,-0.3057
N=COCC=O,-0.2626
O=CCCC=O,-0.2578
O=CCNC=O,-0.2579
O=CCOC=O,-0.2773
CC#CC#CC,-0.2265
CC#CCC#C,-0.2479
CC#CCC#N,-0.2693
CC#CCC=O,-0.2463
CN=CNC=O,-0.2408
CN=COC=O,-0.2771
CCC#CC#C,-0.2405
CCC#CC#N,-0.2842
OCC#CC#C,-0.2442
OCC#CC#N,-0.2849
CCC#CC=O,-0.2632
OCC#CC=O,-0.2682
CCC#CCC,-0.239
CCC#CCO,-0.2418
OCC#CCO,-0.2515
CCN=COC,-0.2447
CC#CCCO,-0.2431
CCCC#CC,-0.2397
COCC#CC,-0.2424
CCOC=NC,-0.2456
CCCCC#C,-0.2579
CCCCC#N,-0.3164
CCNCC#N,-0.2476
CCOCC#C,-0.2547
CCOCC#N,-0.2825
COCCC#C,-0.2584
COCCC#N,-0.2751
OCCCC#C,-0.2594
OCCCC#N,-0.282
CCCCC=O,-0.248
CCCNC=O,-0.2492
CCCOC=O,-0.2771
CCOCC=O,-0.2564
COCCC=O,-0.2544
OCCCC=O,-0.2512
OCCNC=O,-0.2477
OCCOC=N,-0.27
OCCOC=O,-0.281
CCCCCC,-0.3039
CCCCCO,-0.2614
CCCCOC,-0.2496
CCCOCC,-0.2481
CCOCCO,-0.2599
COCCCO,-0.2515
COCCOC,-0.2512
OCCCCO,-0.2614
C#CC1CCC1,-0.2544
C#CC1CCO1,-0.2535
C#CC1COC1,-0.2533
N#CC1CCC1,-0.3085
N#CC1CCN1,-0.2526
N#CC1CCO1,-0.2807
N#CC1COC1,-0.2731
O=CC1CCC1,-0.2459
O=CC1CCO1,-0.2487
O=CC1COC1,-0.2557
O=CN1CCC1,-0.2396
CN=C1CCO1,-0.2475
CCC1CCC1,-0.2855
CCC1CCO1,-0.2406
CCC1COC1,-0.2416
COC1CCC1,-0.2445
COC1COC1,-0.247
OCC1CCC1,-0.2613
OCC1CCO1,-0.2475
OCC1COC1,-0.2432
C#CCC1CC1,-0.2584
C#CCC1CO1,-0.2611
C#CCN1CC1,-0.239
N#CCC1CC1,-0.3029
N#CCC1CN1,-0.2641
N#CCC1CO1,-0.2893
N#CCN1CC1,-0.2611
N=COC1CC1,-0.2588
O=CCC1CC1,-0.2458
O=CCC1CN1,-0.2489
O=CCC1CO1,-0.2535
O=CCN1CC1,-0.2497
O=CNC1CC1,-0.2469
O=COC1CC1,-0.2762
CC#CC1CC1,-0.2264
CC#CC1CN1,-0.229
CC#CC1CO1,-0.2473
CCCC1CC1,-0.2707
CCCC1CO1,-0.2621
CCCN1CC1,-0.2296
CCOC1CC1,-0.2424
COCC1CC1,-0.2495
COCC1CN1,-0.2447
COCC1CO1,-0.2579
OCCC1CC1,-0.2617
OCCC1CO1,-0.2659
OCCN1CC1,-0.2447
CC1CC1C#C,-0.24
CC1CC1C#N,-0.2867
CC1NC1C#C,-0.2454
CC1NC1C#N,-0.2776
CC1OC1C#C,-0.2601
CC1OC1C#N,-0.2985
CN1CC1C#C,-0.2293
CN1CC1C#N,-0.2579
OC1CC1C#C,-0.2506
OC1CC1C#N,-0.278
CC1CC1C=O,-0.2446
CC1CN1C=O,-0.2505
CC1NC1C=O,-0.2482
CC1OC1C=O,-0.2601
CN1CC1C=O,-0.2353
OC1CC1C=O,-0.2437
CC1CC1CO,-0.2572
CC1NC1CO,-0.2467
CC1OC1CO,-0.2622
CCC1CC1C,-0.263
CCC1CC1O,-0.2517
CCC1CN1C,-0.22
CCC1OC1C,-0.2567
CCN1CC1C,-0.2199
CN1CC1CO,-0.2232
COC1CC1C,-0.2416
COC1CC1O,-0.2289
OCC1CC1O,-0.25
CC(=O)C1CC1,-0.2425
CC(=O)C1CN1,-0.257
CC(=O)C1CO1,-0.251
CC(=O)N1CC1,-0.2455
NC(=O)C1CC1,-0.2454
NC(=O)C1CN1,-0.2521
NC(=O)C1CO1,-0.2507
NC(=O)N1CC1,-0.2459
CC(C)C1CC1,-0.2725
CC(C)C1CO1,-0.2618
CC(C)N1CC1,-0.2299
CC(O)C1CC1,-0.2585
CC(O)C1CN1,-0.2355
CC(O)C1CO1,-0.265
C1CC11CCC1,-0.2618
C1CC11CCO1,-0.224
C1CC11COC1,-0.241
C1NC11COC1,-0.2449
C1OC11CCC1,-0.2579
C1OC11COC1,-0.2554
C1C2CC1C=C2,-0.2223
C1C2OC1C=C2,-0.2346
C1C2CC1CC2,-0.2957
C1C2CC1OC2,-0.2355
C1C2CCC1O2,-0.2427
CC1C2CC1C2,-0.2892
CC1C2CC1O2,-0.2338
OC1C2CC1C2,-0.2526
OC1C2CC1O2,-0.2388
C1CC=CCO1,-0.2427
C1CCC=CC1,-0.2343
C1COC=NC1,-0.2453
C1CCCCC1,-0.2913
C1CCOCC1,-0.2429
C1COCCO1,-0.2351
C1COCOC1,-0.2601
C1CC2CCC12,-0.2634
C1CC2OCC12,-0.2393
C1OC2COC12,-0.2484
CC1C2CCC12,-0.2481
CC1C2COC12,-0.2325
OC1C2CCC12,-0.2452
OC1C2COC12,-0.2374
C1C2CC=CC12,-0.2245
C1C2OC=NC12,-0.2458
C1C=CC2NC12,-0.2299
C1C=CC2OC12,-0.2454
C1C2CCCC12,-0.2611
C1C2CCOC12,-0.2271
C1C2COCC12,-0.2482
C1C2OCOC12,-0.2313
C1CC2OC2C1,-0.2561
C1OCC2NC12,-0.2391
C1OCC2OC12,-0.2557
N=C1OC2CC12,-0.2622
O=C1CC2CC12,-0.2407
O=C1CC2CN12,-0.25
O=C1CC2NC12,-0.2405
O=C1CC2OC12,-0.2489
O=C1CN2CC12,-0.2495
O=C1NC2CC12,-0.2475
O=C1OC2CC12,-0.2803
CC1CC2CC12,-0.2504
CC1CC2OC12,-0.2504
CC1OC2CC12,-0.2317
OC1CC2CC12,-0.25
OC1CC2NC12,-0.2377
OC1CC2OC12,-0.2521
OC1CN2CC12,-0.235
C1C2C3CC2C13,-0.2893
C1C2C3CN2C13,-0.2293
C1C2C3OC2C13,-0.2321
N1C2C3NC2C13,-0.2251
N1C2C3OC2C13,-0.2396
O1C2C3OC2C13,-0.2495
C1CC1C1CC1,-0.2473
C1CC1C1CO1,-0.2596
C1CC1N1CC1,-0.2188
C1NC1C1CN1,-0.2328
C1NC1C1CO1,-0.2493
C1OC1C1CO1,-0.2647
C1C2C1C1CC21,-0.2073
C1C2C1C1NC21,-0.2059
C1C2C1C1OC21,-0.2318
C1C2C1N1CC21,-0.2206
N1C2C1C1NC21,-0.2009
N1C2C1C1OC21,-0.2233
O1C2C1C1OC21,-0.256
C1C2C3C1CN23,-0.2359
C1C2C3CC1C23,-0.2442
C1C2C3CC1N23,-0.2409
C1C2C3CN1C23,-0.2238
C1C2C3OC1C23,-0.2298
C12C3C1C1C2C31,-0.2242
C12C3C1N1C2C31,-0.2152
C1=CN=NC=C1,-0.2329
C1=CN=NN=C1,-0.2556
C1=NN=CN=N1,-0.2475
C1=NN=NC=N1,-0.2631
C1=NN=NN=C1,-0.2639
CC1=CC=NN1,-0.2317
CC1=CC=NO1,-0.2527
CC1=CN=NN1,-0.251
CC1=CN=NO1,-0.2707
CC1=CNN=C1,-0.2321
CC1=CNN=N1,-0.2499
CC1=CON=C1,-0.2549
CC1=CON=N1,-0.2697
CC1=NC=NN1,-0.2565
CC1=NC=NO1,-0.2874
CC1=NNC=C1,-0.2393
CC1=NNC=N1,-0.2566
CC1=NNN=C1,-0.2584
CC1=NNN=N1,-0.2882
CC1=NOC=C1,-0.2618
CC1=NOC=N1,-0.2916
CC1=NON=C1,-0.3017
CC1=NON=N1,-0.3198
CN1C=CC=N1,-0.2378
CN1C=CN=N1,-0.2576
CN1C=NC=N1,-0.2624
CN1C=NN=C1,-0.2491
CN1C=NN=N1,-0.2827
CN1N=CC=N1,-0.2587
CN1N=CN=N1,-0.2907
CN1N=NN=N1,-0.3198
N=C1NC=NO1,-0.2313
N=C1NN=NN1,-0.2243
N=C1OC=NO1,-0.2634
N=C1ON=NO1,-0.2947
NC1=CC=NN1,-0.206
NC1=CC=NO1,-0.218
NC1=CN=NN1,-0.2234
NC1=CN=NO1,-0.2338
NC1=CNN=C1,-0.1956
NC1=CNN=N1,-0.2126
NC1=CON=C1,-0.2186
NC1=CON=N1,-0.2311
NC1=NC=NN1,-0.2268
NC1=NC=NO1,-0.2475
NC1=NNC=C1,-0.2006
NC1=NNC=N1,-0.2143
NC1=NNN=C1,-0.2181
NC1=NNN=N1,-0.2385
NC1=NOC=C1,-0.2328
NC1=NOC=N1,-0.2447
NC1=NON=C1,-0.2516
NC1=NON=N1,-0.2663
O=C1NC=NN1,-0.2283
O=C1NC=NO1,-0.2655
O=C1NN=NN1,-0.261
O=C1NN=NO1,-0.2987
O=C1OC=NO1,-0.2998
O=C1ON=NO1,-0.3348
OC1=CC=NN1,-0.2185
OC1=CNN=C1,-0.2132
OC1=CNN=N1,-0.2326
OC1=NC=NN1,-0.2453
OC1=NNC=C1,-0.2207
OC1=NNC=N1,-0.2392
OC1=NNN=C1,-0.2405
OC1=NNN=N1,-0.269
OC1=NOC=C1,-0.2581
OC1=NOC=N1,-0.2744
OC1=NON=N1,-0.3005
CC#CC(C)=NO,-0.2248
CC(CC#C)=NO,-0.2492
CC(CC#N)=NO,-0.2661
CC(CC=O)=NO,-0.2459
CC(CCO)=NO,-0.2419
CCCC(C)=NO,-0.2382
COCC(C)=NO,-0.2497
CC(=NO)C(C)=NO,-0.2278
CC(=NO)C(N)=O,-0.2537
CC(C)C(C)=NO,-0.2393
CC(O)C(C)=NO,-0.2437
CC1CC(C1)=NO,-0.2394
CN1CC(C1)=NO,-0.2202
ON=C1CC(O)C1,-0.2421
ON=C(C#C)C#C,-0.2418
CCC(=NO)C#C,-0.2383
OCC(=NO)C#C,-0.237
CCC(CC)=NO,-0.2392
CCC(CO)=NO,-0.2503
CC1CCC1=NO,-0.24
CC1NCC1=NO,-0.2291
CC1OCC1=NO,-0.2477
ON=C1CCC1O,-0.2503
ON=C1CC=CC1,-0.2347
ON=C1CCC=C1,-0.2178
ON=C1CNC=C1,-0.1873
ON=C1CCCC1,-0.2369
ON=C1CCOC1,-0.2485
CC(=NO)C1CC1,-0.2304
CC(=NO)C1CN1,-0.2316
CC(=NO)C1CO1,-0.2458
ON=C1CC2CC12,-0.23
ON=C1CC2NC12,-0.2319
ON=C1CC2OC12,-0.2513
ON=C1CN2CC12,-0.2324
FC(F)(F)C#C,-0.3166
FC(F)(F)C#N,-0.3831
FC(F)(F)C=O,-0.2957
NCC(F)(F)F,-0.2571
OCC(F)(F)F,-0.2955
CCC(F)(F)F,-0.3543
CC1=CC(C)=CN1,-0.1894
CC1=CC(C)=CO1,-0.2072
CC1=CC(N)=CN1,-0.1686
CC1=CC(N)=CO1,-0.1872
CC1=CC(O)=CN1,-0.1793
CC1=CC(O)=CO1,-0.1985
CC1=CNC(N)=C1,-0.1791
CC1=CNC(O)=C1,-0.1782
CC1=CNC(O)=N1,-0.198
CC1=COC(N)=C1,-0.1811
CC1=COC(N)=N1,-0.2026
CC1=COC(O)=N1,-0.2205
CC1=NC(C)=CN1,-0.206
CC1=NC(C)=CO1,-0.2274
CC1=NC(N)=CO1,-0.1971
CC1=NC(O)=CN1,-0.1921
CC1=NC(O)=CO1,-0.2136
NC1=CC(N)=CN1,-0.1637
NC1=CC(N)=CO1,-0.1699
NC1=CC(O)=CN1,-0.174
NC1=CC(O)=CO1,-0.1779
NC1=CNC(O)=C1,-0.1633
NC1=CNC(O)=N1,-0.1739
NC1=COC(O)=N1,-0.195
NC1=NC(N)=CO1,-0.182
NC1=NC(O)=CN1,-0.1786
NC1=NC(O)=CO1,-0.1945
OC1=CC(O)=CN1,-0.1714
OC1=NC(O)=CN1,-0.1866
CC1=CC=C(C)N1,-0.1849
CC1=CC=C(C)O1,-0.2015
CC1=CC=C(N)N1,-0.1766
CC1=CC=C(N)O1,-0.1764
CC1=CC=C(O)N1,-0.1738
CC1=CN=C(C)O1,-0.2243
CC1=CN=C(N)O1,-0.1993
CC1=CN=C(O)N1,-0.1961
CC1=CN=C(O)O1,-0.2163
CC1=NC=C(N)O1,-0.196
CC1=NC=C(O)N1,-0.1933
NC1=CC=C(N)N1,-0.171
NC1=CC=C(N)O1,-0.1783
NC1=CC=C(O)N1,-0.1749
NC1=CC=C(O)O1,-0.1916
NC1=CN=C(N)O1,-0.2014
NC1=CN=C(O)N1,-0.1914
