smiles,zpve
O1C=CN=N1,0.045382
O1C=NC=N1,0.046608
O1C=NN=C1,0.046502
O1C=NN=N1,0.033398
O1N=CC=N1,0.045873
O1N=CN=N1,0.033459
O1N=NN=N1,0.020349
CC(=NO)C#C,0.081951
CC(CO)=NO,0.105605
CCC(C)=NO,0.129195
ON=C1CCC1,0.107557
ON=C1CNC1,0.096619
ON=C1COC1,0.084017
FC(F)(F)F,0.017147
N=C1NC=CO1,0.074595
N=C1OC=CO1,0.062567
O=C1NC=CN1,0.075511
O=C1NC=CO1,0.063077
O=C1OC=CO1,0.050756
CC1=CC=CN1,0.109918
CC1=CC=CO1,0.097415
CC1=CN=CO1,0.086244
CC1=NC=CO1,0.086046
NC1=CC=CN1,0.099063
NC1=CC=CO1,0.086472
NC1=CN=CO1,0.075243
NC1=NC=CO1,0.075481
OC1=CC=CN1,0.0864
OC1=CN=CN1,0.075256
OC1=NC=CN1,0.075677
CC1=CNC=C1,0.109903
CC1=CNC=N1,0.098598
CC1=COC=C1,0.097541
CC1=COC=N1,0.086195
NC1=CNC=C1,0.098959
NC1=CNC=N1,0.087869
NC1=COC=C1,0.086736
NC1=COC=N1,0.075457
OC1=CNC=C1,0.086407
OC1=CNC=N1,0.075668
OC1=COC=N1,0.063161
CN1C=CC=C1,0.110002
CN1C=CN=C1,0.098859
C1=CC=CC=C1,0.100175
C1=CC=NC=C1,0.088683
C1=CN=CC=N1,0.07674
C1=CN=CN=C1,0.076933
C1=NC=NC=N1,0.065246
CC(C)(C)C#C,0.140054
CC(C)(C)C#N,0.129886
CC(C)(N)C#N,0.119019
CC(C)(O)C#C,0.116168
CC(C)(O)C#N,0.105718
CC(C)(C)C=O,0.139975
CC(C)(O)C=O,0.115843
CC(C)(C)CO,0.163869
CC(C)(O)CO,0.139933
CCC(C)(C)C,0.187572
CCC(C)(C)O,0.163685
COC(C)(C)C,0.163225
CC#CC(C)=O,0.093473
CC#CC(N)=O,0.082966
CC#CC(C)C,0.140828
CC#CC(C)O,0.117252
CC(=O)CC#C,0.093109
CC(=O)CC#N,0.082597
NC(=O)CC#C,0.082749
NC(=O)CC#N,0.072367
CC(=N)NC=O,0.096761
CC(=N)OC=O,0.083113
CC(=O)CC=O,0.09322
CC(=O)NC=N,0.095742
CC(=O)NC=O,0.083351
CC(=O)OC=N,0.083216
NC(=N)NC=O,0.08593
NC(=O)CC=O,0.083052
NC(=O)NC=N,0.085659
NC(=O)NC=O,0.073232
NC(=O)OC=N,0.0727
CC(C)CC#C,0.140781
CC(C)CC#N,0.130632
CC(O)CC#C,0.117241
CC(O)CC#N,0.106844
CN(C)CC#N,0.119064
CC(C)CC=O,0.140549
CC(C)NC=O,0.130467
CC(C)OC=O,0.117552
CC(O)CC=O,0.11705
CN(C)CC=O,0.129063
CC(=O)CCO,0.117054
CCCC(C)=O,0.140374
CCCC(N)=O,0.130316
CCNC(C)=O,0.130219
CCNC(N)=O,0.120088
CCOC(C)=O,0.117704
CCOC(N)=O,0.107556
C[NH2+]CC([O-])=O,0.108531
COCC(C)=O,0.116412
COCC(N)=O,0.10636
NC(=O)CCO,0.106736
[NH3+]CCC([O-])=O,0.107753
CC(C)CCO,0.164714
CC(O)CCO,0.141169
CCCC(C)C,0.188151
CCCC(C)O,0.164563
CCOC(C)C,0.163926
COCC(C)C,0.16427
COCC(C)O,0.141325
CC(=O)C(C)=O,0.092927
CC(=O)C(N)=N,0.09552
CC(=O)C(N)=O,0.083247
NC(=[NH2+])C([O-])=O,0.073524
NC(=O)C(N)=O,0.073748
CC(C)C(C)=O,0.140412
CC(C)C(N)=O,0.130071
CC([NH3+])C([O-])=O,0.108391
CC(O)C(C)=O,0.117268
CC(O)C(N)=O,0.10692
CN(C)C(C)=O,0.129864
CN(C)C(N)=O,0.119711
CC(C)C(C)C,0.187721
CC(C)C(C)O,0.164151
CC(O)C(C)O,0.140737
CC1(C)CCC1,0.165997
CC1(C)CCO1,0.141947
CC1(C)COC1,0.142192
CC1(O)CCC1,0.142376
CC1(O)COC1,0.118569
CC1(C)CC1O,0.141365
CC1(O)CC1O,0.117602
CC1CC1(C)C,0.16489
CC1CC1(C)O,0.141106
CC1OC1(C)C,0.140619
CN1CC1(C)C,0.153033
CC1CC(=N)O1,0.108342
CC1CC(=O)C1,0.118664
CC1CC(=O)N1,0.108284
CC1CC(=O)O1,0.096346
CN1CC(=O)C1,0.107085
OC1CC(=O)C1,0.095023
CC1CC(C)C1,0.166237
CC1CC(C)O1,0.14242
CC1CC(O)C1,0.142766
CN1CC(O)C1,0.131404
OC1CC(O)C1,0.119358
CC12CC(C1)C2,0.144312
CC12CC(C1)O2,0.119521
CC12CN(C1)C2,0.132764
OC12CC(C1)C2,0.120826
OC12CN(C1)C2,0.109323
O=C(C#C)C#C,0.04691
O=C(C#C)C#N,0.036304
O=C(C#N)C#N,0.02554
O=CC(=O)C#C,0.046458
O=CC(=O)C#N,0.035739
O=CC(=O)C=O,0.045968
CC(C#C)C#C,0.093567
CC(C#C)C#N,0.083296
CC(C#N)C#N,0.072887
NC(C#C)C#N,0.072434
NC(C#N)C#N,0.061962
OC(C#C)C#C,0.070081
OC(C#C)C#N,0.05969
OC(C#N)C#N,0.04917
CC(C=O)C#C,0.093434
CC(C=O)C#N,0.083083
OC(C=O)C#C,0.070272
OC(C=O)C#N,0.059833
CC(C=O)C=O,0.093292
CN(C=N)C=O,0.096802
CN(C=O)C=O,0.084124
OC(C=O)C=O,0.070094
CN=C(N)C#N,0.084203
CN=C(N)C=O,0.095327
CCC(=O)C#C,0.09367
CCC(=O)C#N,0.08307
CNC(=N)C#N,0.084889
CNC(=O)C#C,0.0833
COC(=O)C#C,0.071026
COC(=O)C#N,0.06048
OCC(=O)C#C,0.070046
OCC(=O)C#N,0.059291
CCC(=O)C=O,0.093575
CNC(=N)C=O,0.095538
CNC(=O)C=O,0.083118
COC(=O)C=O,0.070937
OCC(=O)C=O,0.069653
CCC(=O)CC,0.140552
CCC(=O)CO,0.116949
CCC(=O)NC,0.130452
CCC(=O)OC,0.118017
CNC(=O)CO,0.106577
CNC(=O)NC,0.119461
CNC(=O)OC,0.107261
COC(=O)CN,0.107439
COC(=O)CO,0.094874
OCC(=O)CO,0.09331
COC(C)=NC,0.129176
CC(CO)C#C,0.117465
CC(CO)C#N,0.107232
CCC(C)C#C,0.14095
CCC(C)C#N,0.130797
CCC(N)C#N,0.119956
CCC(O)C#C,0.117373
CCC(O)C#N,0.107081
CNC(C)C#N,0.119301
COC(C)C#C,0.116766
COC(C)C#N,0.106659
NC(CO)C#N,0.096396
NCC(N)C#N,0.109366
NCC(O)C#N,0.096532
OCC(O)C#C,0.094585
OCC(O)C#N,0.084113
CC(CO)C=O,0.117353
CCC(C)C=O,0.140783
CCC(O)C=O,0.117766
CCN(C)C=O,0.130695
COC(C)C=O,0.116572
OCC(O)C=O,0.094809
CC(CO)CO,0.141197
CCC(C)CC,0.188227
CCC(C)CO,0.164837
CCC(C)OC,0.164188
CCC(O)CC,0.164626
CCC(O)CO,0.141924
COC(C)CO,0.141335
OCC(O)CO,0.118969
CC1(CC1)C#C,0.118255
CC1(CC1)C#N,0.108158
CC1(CN1)C#C,0.106988
CC1(CN1)C#N,0.096715
CC1(CO1)C#C,0.094019
CC1(CO1)C#N,0.083704
NC1(CC1)C#N,0.09733
OC1(CC1)C#C,0.094491
OC1(CC1)C#N,0.084237
CC1(CC1)C=O,0.118497
CC1(CN1)C=O,0.107129
CC1(CO1)C=O,0.094183
OC1(CC1)C=O,0.094927
CC1(CO)CC1,0.142009
CC1(CO)CN1,0.13149
CC1(CO)CO1,0.118491
CCC1(C)CC1,0.165551
CCC1(C)CO1,0.141536
CCC1(O)CC1,0.141819
COC1(C)CC1,0.141327
OCC1(O)CC1,0.1187
CC1CCC1=O,0.118901
CC1CNC1=O,0.108515
CC1COC1=N,0.108616
CC1COC1=O,0.096641
CC1NCC1=O,0.107628
CC1OCC1=O,0.094977
CN1CCC1=O,0.108561
NC1COC1=N,0.097893
NC1COC1=O,0.085902
OC1CCC1=O,0.095379
OC1CNC1=O,0.08494
OC1COC1=N,0.084855
OC1COC1=O,0.072889
CC1CCC1C,0.166462
CC1CCC1O,0.142966
CC1COC1C,0.142555
CC1OCC1O,0.118783
OC1CCC1O,0.11984
N=C1CN=CN1,0.08707
O=C1CC=CC1,0.096841
O=C1CC=CN1,0.08615
O=C1CN=CN1,0.075083
O=C1CN=CO1,0.062716
N=C1OCC=C1,0.086685
O=C1CCC=C1,0.097695
O=C1NCC=C1,0.086559
N=C1CCCO1,0.110489
N=C1COCO1,0.08643
N=C1OCCO1,0.08682
O=C1CCCC1,0.120921
O=C1CCCN1,0.110762
O=C1CCCO1,0.098309
O=C1CCOC1,0.096958
O=C1COCO1,0.074203
O=C1NCCN1,0.100038
O=C1NCCO1,0.087482
O=C1OCCO1,0.074926
CC1=CCCC1,0.144201
CC1=CCOC1,0.119949
CC1=NCCO1,0.109278
CC1CC=CC1,0.144419
CC1CN=CO1,0.109554
OC1CC=CC1,0.120948
CC1CCC=C1,0.144442
CC1COC=N1,0.109629
CC1OCC=C1,0.120101
OC1CCC=C1,0.121083
CC1CCCC1,0.168121
CC1CCCO1,0.144187
CC1CCOC1,0.144241
CC1COCO1,0.120486
CC1OCCO1,0.120277
OC1CCCC1,0.144785
OC1CCOC1,0.120836
CC1C(C)C1C,0.165387
CC1C(C)C1O,0.141848
CC1C(C)N1C,0.153308
CC1C(O)C1O,0.118633
OC1C(O)C1O,0.096192
CC12CC1CC2,0.143756
CC12CC1CO2,0.119588
CC12CC1OC2,0.119607
CC12CCC1O2,0.119394
OC12CC1CC2,0.120085
OC12CC1OC2,0.095993
C#CC#CC#C,0.046718
C#CC#CC#N,0.036829
N#CC#CC#N,0.027023
C#CCCC#C,0.093925
C#CCCC#N,0.083685
N#CCCC#N,0.073373
O=CC#CC#C,0.047327
O=CC#CC#N,0.03702
O=CC#CC=O,0.0471
N=COCC#C,0.083043
N=COCC#N,0.07256
O=CCCC#C,0.093631
O=CCCC#N,0.083388
O=CNCC#C,0.083614
O=CNCC#N,0.073313
O=COCC#C,0.070779
O=COCC#N,0.060309
N=COCC=O,0.082446
O=CCCC=O,0.093635
O=CCNC=O,0.083436
O=CCOC=O,0.070248
CC#CC#CC,0.094213
CC#CCC#C,0.093655
CC#CCC#N,0.083392
CC#CCC=O,0.093413
CN=CNC=O,0.095665
CN=COC=O,0.082782
CCC#CC#C,0.094569
CCC#CC#N,0.084479
OCC#CC#C,0.070848
OCC#CC#N,0.060584
CCC#CC=O,0.094355
OCC#CC=O,0.07066
CCC#CCC,0.141612
CCC#CCO,0.117895
OCC#CCO,0.09418
CCN=COC,0.129694
CC#CCCO,0.117711
CCCC#CC,0.141123
COCC#CC,0.117121
CCOC=NC,0.129432
CCCCC#C,0.141225
CCCCC#N,0.13111
CCNCC#N,0.119718
CCOCC#C,0.11701
CCOCC#N,0.106754
COCCC#C,0.117433
COCCC#N,0.107193
OCCCC#C,0.117709
OCCCC#N,0.107556
CCCCC=O,0.141084
CCCNC=O,0.131133
CCCOC=O,0.118294
CCOCC=O,0.11665
COCCC=O,0.117214
OCCCC=O,0.117582
OCCNC=O,0.108023
OCCOC=N,0.107385
OCCOC=O,0.095121
CCCCCC,0.188559
CCCCCO,0.16513
CCCCOC,0.164797
CCCOCC,0.164575
CCOCCO,0.14179
COCCCO,0.141312
COCCOC,0.141011
OCCCCO,0.141711
C#CC1CCC1,0.119752
C#CC1CCO1,0.095784
C#CC1COC1,0.095926
N#CC1CCC1,0.109648
N#CC1CCN1,0.098381
N#CC1CCO1,0.085545
N#CC1COC1,0.085731
O=CC1CCC1,0.119748
O=CC1CCO1,0.095537
O=CC1COC1,0.095867
O=CN1CCC1,0.108991
CN=C1CCO1,0.108198
CCC1CCC1,0.16689
CCC1CCO1,0.143052
CCC1COC1,0.143134
COC1CCC1,0.143075
COC1COC1,0.119168
OCC1CCC1,0.143443
OCC1CCO1,0.120269
OCC1COC1,0.119781
C#CCC1CC1,0.118801
C#CCC1CO1,0.094784
C#CCN1CC1,0.107234
N#CCC1CC1,0.108659
N#CCC1CN1,0.097425
N#CCC1CO1,0.084551
N#CCN1CC1,0.096776
N=COC1CC1,0.107686
O=CCC1CC1,0.118731
O=CCC1CN1,0.107552
O=CCC1CO1,0.094736
O=CCN1CC1,0.106753
O=CNC1CC1,0.108445
O=COC1CC1,0.09542
CC#CC1CC1,0.118893
CC#CC1CN1,0.107787
CC#CC1CO1,0.094802
CCCC1CC1,0.166165
CCCC1CO1,0.142296
CCCN1CC1,0.154458
CCOC1CC1,0.14199
COCC1CC1,0.142346
COCC1CN1,0.1312
COCC1CO1,0.118336
OCCC1CC1,0.142775
OCCC1CO1,0.118831
OCCN1CC1,0.131706
CC1CC1C#C,0.118547
CC1CC1C#N,0.108412
CC1NC1C#C,0.107167
CC1NC1C#N,0.09686
CC1OC1C#C,0.094333
CC1OC1C#N,0.083973
CN1CC1C#C,0.106781
CN1CC1C#N,0.096563
OC1CC1C#C,0.094612
OC1CC1C#N,0.08473
CC1CC1C=O,0.118807
CC1CN1C=O,0.10755
CC1NC1C=O,0.107279
CC1OC1C=O,0.094493
CN1CC1C=O,0.107142
OC1CC1C=O,0.095101
CC1CC1CO,0.142338
CC1NC1CO,0.131723
CC1OC1CO,0.118625
CCC1CC1C,0.165775
CCC1CC1O,0.142271
CCC1CN1C,0.154112
CCC1OC1C,0.141773
CCN1CC1C,0.153906
CN1CC1CO,0.130565
COC1CC1C,0.141831
COC1CC1O,0.118463
OCC1CC1O,0.11882
CC(=O)C1CC1,0.118794
CC(=O)C1CN1,0.107728
CC(=O)C1CO1,0.094448
CC(=O)N1CC1,0.107159
NC(=O)C1CC1,0.10842
NC(=O)C1CN1,0.097486
NC(=O)C1CO1,0.084825
NC(=O)N1CC1,0.097247
CC(C)C1CC1,0.165637
CC(C)C1CO1,0.142058
CC(C)N1CC1,0.153893
CC(O)C1CC1,0.142089
CC(O)C1CN1,0.13137
CC(O)C1CO1,0.118887
C1CC11CCC1,0.143903
C1CC11CCO1,0.119866
C1CC11COC1,0.120166
C1NC11COC1,0.108945
C1OC11CCC1,0.120036
C1OC11COC1,0.096163
C1C2CC1C=C2,0.122474
C1C2OC1C=C2,0.098138
C1C2CC1CC2,0.146796
C1C2CC1OC2,0.122543
C1C2CCC1O2,0.122563
CC1C2CC1C2,0.144734
CC1C2CC1O2,0.120022
OC1C2CC1C2,0.121175
OC1C2CC1O2,0.096525
C1CC=CCO1,0.12179
C1CCC=CC1,0.145885
C1COC=NC1,0.111001
C1CCCCC1,0.169722
C1CCOCC1,0.146029
C1COCCO1,0.122092
C1COCOC1,0.122388
C1CC2CCC12,0.144832
C1CC2OCC12,0.121217
C1OC2COC12,0.097397
CC1C2CCC12,0.144219
CC1C2COC12,0.120159
OC1C2CCC12,0.120797
OC1C2COC12,0.096937
C1C2CC=CC12,0.122084
C1C2OC=NC12,0.086946
C1C=CC2NC12,0.11066
C1C=CC2OC12,0.097836
C1C2CCCC12,0.146218
C1C2CCOC12,0.121999
C1C2COCC12,0.122247
C1C2OCOC12,0.097684
C1CC2OC2C1,0.12194
C1OCC2NC12,0.110626
C1OCC2OC12,0.097778
N=C1OC2CC12,0.085607
O=C1CC2CC12,0.097002
O=C1CC2CN12,0.085415
O=C1CC2NC12,0.085259
O=C1CC2OC12,0.072489
O=C1CN2CC12,0.085331
O=C1NC2CC12,0.086125
O=C1OC2CC12,0.073601
CC1CC2CC12,0.143977
CC1CC2OC12,0.119783
CC1OC2CC12,0.11981
OC1CC2CC12,0.12054
OC1CC2NC12,0.109636
OC1CC2OC12,0.096669
OC1CN2CC12,0.108991
C1C2C3CC2C13,0.121716
C1C2C3CN2C13,0.109902
C1C2C3OC2C13,0.097292
N1C2C3NC2C13,0.09889
N1C2C3OC2C13,0.085719
O1C2C3OC2C13,0.072528
C1CC1C1CC1,0.143702
C1CC1C1CO1,0.119787
C1CC1N1CC1,0.132005
C1NC1C1CN1,0.121976
C1NC1C1CO1,0.108598
C1OC1C1CO1,0.096139
C1C2C1C1CC21,0.121076
C1C2C1C1NC21,0.109564
C1C2C1C1OC21,0.09688
C1C2C1N1CC21,0.109407
N1C2C1C1NC21,0.097677
N1C2C1C1OC21,0.085037
O1C2C1C1OC21,0.072361
C1C2C3C1CN23,0.110586
C1C2C3CC1C23,0.122208
C1C2C3CC1N23,0.110858
C1C2C3CN1C23,0.110471
C1C2C3OC1C23,0.097855
C12C3C1C1C2C31,0.097379
C12C3C1N1C2C31,0.085878
C1=CN=NC=C1,0.076104
C1=CN=NN=C1,0.063368
C1=NN=CN=N1,0.051463
C1=NN=NC=N1,0.051491
C1=NN=NN=C1,0.050401
CC1=CC=NN1,0.09876
CC1=CC=NO1,0.08558
CC1=CN=NN1,0.086723
CC1=CN=NO1,0.073075
CC1=CNN=C1,0.098771
CC1=CNN=N1,0.086525
CC1=CON=C1,0.08571
CC1=CON=N1,0.073073
CC1=NC=NN1,0.087311
CC1=NC=NO1,0.074104
CC1=NNC=C1,0.098676
CC1=NNC=N1,0.087309
CC1=NNN=C1,0.087282
CC1=NNN=N1,0.075037
CC1=NOC=C1,0.085647
CC1=NOC=N1,0.074202
CC1=NON=C1,0.073559
CC1=NON=N1,0.061106
CN1C=CC=N1,0.098746
CN1C=CN=N1,0.086738
CN1C=NC=N1,0.0876
CN1C=NN=C1,0.086813
CN1C=NN=N1,0.074633
CN1N=CC=N1,0.087299
CN1N=CN=N1,0.075306
CN1N=NN=N1,0.062337
N=C1NC=NO1,0.063044
N=C1NN=NN1,0.063337
N=C1OC=NO1,0.050594
N=C1ON=NO1,0.037566
NC1=CC=NN1,0.087866
NC1=CC=NO1,0.0748
NC1=CN=NN1,0.075741
NC1=CN=NO1,0.061867
NC1=CNN=C1,0.087859
NC1=CNN=N1,0.075973
NC1=CON=C1,0.074853
NC1=CON=N1,0.062456
NC1=NC=NN1,0.076735
NC1=NC=NO1,0.063595
NC1=NNC=C1,0.088014
NC1=NNC=N1,0.076774
NC1=NNN=C1,0.076571
NC1=NNN=N1,0.064539
NC1=NOC=C1,0.07509
NC1=NOC=N1,0.06371
NC1=NON=C1,0.062933
NC1=NON=N1,0.050629
O=C1NC=NN1,0.064276
O=C1NC=NO1,0.05129
O=C1NN=NN1,0.051932
O=C1NN=NO1,0.038735
O=C1OC=NO1,0.038724
O=C1ON=NO1,0.025718
OC1=CC=NN1,0.075424
OC1=CNN=C1,0.075398
OC1=CNN=N1,0.063735
OC1=NC=NN1,0.064546
OC1=NNC=C1,0.075725
OC1=NNC=N1,0.064531
OC1=NNN=C1,0.064229
OC1=NNN=N1,0.052337
OC1=NOC=C1,0.062841
OC1=NOC=N1,0.0514
OC1=NON=N1,0.038285
CC#CC(C)=NO,0.110277
CC(CC#C)=NO,0.110179
CC(CC#N)=NO,0.099907
CC(CC=O)=NO,0.110176
CC(CCO)=NO,0.134383
CCCC(C)=NO,0.157642
COCC(C)=NO,0.134033
CC(=NO)C(C)=NO,0.127289
CC(=NO)C(N)=O,0.100061
CC(C)C(C)=NO,0.157266
CC(O)C(C)=NO,0.133694
CC1CC(C1)=NO,0.135534
CN1CC(C1)=NO,0.123935
ON=C1CC(O)C1,0.111964
ON=C(C#C)C#C,0.063418
CCC(=NO)C#C,0.110998
OCC(=NO)C#C,0.086869
CCC(CC)=NO,0.158157
CCC(CO)=NO,0.13466
CC1CCC1=NO,0.135736
CC1NCC1=NO,0.124472
CC1OCC1=NO,0.111826
ON=C1CCC1O,0.111986
ON=C1CC=CC1,0.113734
ON=C1CCC=C1,0.114241
ON=C1CNC=C1,0.103108
ON=C1CCCC1,0.137803
ON=C1CCOC1,0.113817
CC(=NO)C1CC1,0.135269
CC(=NO)C1CN1,0.124288
CC(=NO)C1CO1,0.111634
ON=C1CC2CC12,0.113561
ON=C1CC2NC12,0.101982
ON=C1CC2OC12,0.089232
ON=C1CN2CC12,0.101956
FC(F)(F)C#C,0.033373
FC(F)(F)C#N,0.022798
FC(F)(F)C=O,0.033264
NCC(F)(F)F,0.070118
OCC(F)(F)F,0.057079
CCC(F)(F)F,0.080927
CC1=CC(C)=CN1,0.137355
CC1=CC(C)=CO1,0.124978
CC1=CC(N)=CN1,0.126359
CC1=CC(N)=CO1,0.114169
CC1=CC(O)=CN1,0.113818
CC1=CC(O)=CO1,0.101451
CC1=CNC(N)=C1,0.126516
CC1=CNC(O)=C1,0.113849
CC1=CNC(O)=N1,0.103147
CC1=COC(N)=C1,0.114088
CC1=COC(N)=N1,0.103063
CC1=COC(O)=N1,0.090583
CC1=NC(C)=CN1,0.125973
CC1=NC(C)=CO1,0.113597
CC1=NC(N)=CO1,0.1028
CC1=NC(O)=CN1,0.10294
CC1=NC(O)=CO1,0.090513
NC1=CC(N)=CN1,0.115518
NC1=CC(N)=CO1,0.103242
NC1=CC(O)=CN1,0.102905
NC1=CC(O)=CO1,0.090519
NC1=CNC(O)=C1,0.102791
NC1=CNC(O)=N1,0.092224
NC1=COC(O)=N1,0.079813
NC1=NC(N)=CO1,0.092273
NC1=NC(O)=CN1,0.092282
NC1=NC(O)=CO1,0.07996
OC1=CC(O)=CN1,0.090094
OC1=NC(O)=CN1,0.079974
CC1=CC=C(C)N1,0.137479
CC1=CC=C(C)O1,0.124938
CC1=CC=C(N)N1,0.126563
CC1=CC=C(N)O1,0.114106
CC1=CC=C(O)N1,0.113974
CC1=CN=C(C)O1,0.11372
CC1=CN=C(N)O1,0.103202
CC1=CN=C(O)N1,0.103349
CC1=CN=C(O)O1,0.091041
CC1=NC=C(N)O1,0.102764
CC1=NC=C(O)N1,0.102709
NC1=CC=C(N)N1,0.115679
NC1=CC=C(N)O1,0.103132
NC1=CC=C(O)N1,0.102908
NC1=CC=C(O)O1,0.090593
NC1=CN=C(N)O1,0.092201
NC1=CN=C(O)N1,0.092363
NC1=CN=C(O)O1,0.080017
OC1=CC=C(O)N1,0.09023
OC1=CN=C(O)N1,0.079713
CC1=CNC(=N)O1,0.102241
CC1=CNC(=O)N1,0.103178
CC1=CNC(=O)O1,0.090742
CC1=COC(=N)N1,0.102362
CC1=COC(=N)O1,0.090314
CC1=COC(=O)N1,0.090834
CC1=COC(=O)O1,0.078484
NC1=CNC(=N)O1,0.091449
NC1=CNC(=O)N1,0.092148
NC1=CNC(=O)O1,0.07952
NC1=COC(=N)O1,0.079235
NC1=COC(=O)N1,0.079953
NC1=COC(=O)O1,0.067459
OC1=CNC(=N)O1,0.078652
OC1=CNC(=O)N1,0.079218
OC1=CNC(=O)O1,0.066802
OC1=COC(=N)N1,0.078724
OC1=COC(=N)O1,0.066442
OC1=COC(=O)O1,0.054586
CN1C=CC(C)=C1,0.137493
CN1C=CC(N)=C1,0.126581
CN1C=CC(O)=C1,0.114013
CN1C=NC(C)=C1,0.12626
CN1C=NC(N)=C1,0.115616
CN1C=NC(O)=C1,0.103405
N=C1C=COC=N1,0.081241
N=C1N=CNC=N1,0.081923
N=C1N=COC=N1,0.069314
O=C1C=CNC=C1,0.093386
O=C1C=CNC=N1,0.081579
O=C1C=COC=C1,0.080615
O=C1C=COC=N1,0.068731
O=C1N=COC=N1,0.056738
N=C1NC=NC=N1,0.082644
N=C1OC=CC=C1,0.092406
N=C1OC=CC=N1,0.080364
N=C1OC=CN=C1,0.080481
N=C1OC=NC=C1,0.080879
N=C1OC=NC=N1,0.068918
O=C1NC=CC=C1,0.093535
